Author,Cluster,interests
Mo Abdallah,0,
Cindy Smith,0,
Andrew C. Lee,0,
J. Cole Smith,0,"integer programming and combinatorial optimization, integer programming, mathematical programming, operations research, network flows and facility location, computational optimization methods, large-scale optimization due to uncertainty or robustness considerations"
Lihong Lao,0,
Saman Priyantha Kumarawadu,0,
Rodrick Kuate Defo,0,
Yilei Shi,0,
Bryan S. Kim,0,"storage systems, file and storage systems, operating systems, computer architecture"
Andrea Joseph,0,
Alex K. Jones,0,
Chris E. Johnson,0,"trace metals in the environment, chemistry of natural organic matter, forest soils, soil organic matter, biogeochemical processes in terrestrial ecosystems, soil chemistry, biogeochemistry, water chemistry"
Pankaj K. Jha,0,"quantum sensing and metrology, quantum nano- and meta-photonics, machine learning, quantum optics, quantum technology, optical devices, nanomaterials, bio-inspired materials, bio-nano ​interfaces, quantum information science"
Younes Ra’di,0,"applied electromagnetics, artificial materials"
Can Isik,0,
Garrett Ethan Katz,0,
Andrea Shen,0,
Ian M. Shapiro,0,
Eric M. Lui,0,
Peter Plumley,0,
Vir V. Phoha,0,
Utpal Roy,0,
Dawit Negussey,0,
Shikha Nangia,0,computational biology multiscale modeling nanocarriers
Young B. Moon,0,"cyber-manufacturing systems, machine learning, modeling and simulation, cyber-physical security, sustainability"
Chilukuri K. Mohan,0,"bioinformatics, reinforcement learning, anomaly detection, neural networks, evolutionary algorithms"
Ashok S. Sangani,0,
Amit K. Sanyal,0,
Jean-Daniel Medjo,0,
Mehmet Sarimurat,0,
Karen Martinez Soto,0,"conceptual understanding, classroom assessment, curriculum development"
Shalabh C. Maroo,0,"thermal management, energy conversion, nano and micro-technology, nanotechnology, desalination, heat transfer"
Duane L. Marcy,0,
Sinéad C. Mac Namara,0,
Jason Pollack,0,"quantum information, decoherence, thermalization, emergent spacetime, quantum gravity"
Radhakrishna (Suresh) Sureshkumar,0,
Ian D. Hosein,0,"polymers, energy, energy conversion and storage, devices, synthesis and processing, composites"
Moamer (Mo) Hasanovic,0,
Mary Beth Browning Monroe,0,
Katie Cadwell,0,
Michelle M. Blum,0,"engineering education, tribology, mechanical characterization of materials, mechanics, materials, inquiry based learning methods, tribology & lubrication"
Pun To (Douglas) Yung,0,
C.Y. Roger Chen,0,
Edmund S. Yu,0,
Jackie Anderson,0,
James (Jay) Henderson,0,"smart materials, tissue engineering, and tissue engineering, advanced manufacturing, biomechanics, shape-memory polymers, mechanobiology"
Andria Costello Staniec,0,
John F. Dannenhoffer III,0,"computational geometry (cg), multi-disciplinary analysis and optimization (mdao), computational fluid dynamics (cfd), aerospace vehicle analysis and design"
Gabriel Silva De Oliveira,0,
Ben Akih-Kumgeh,0,
Jesse Q. Bond,0,"catalysis, reaction engineering, biomass processing, alternative fuels"
Li Wang,0,
Joseph J. Waclawski,0,
Matthew Erdman,0,
Riyad S. Aboutaha,0,forensic engineering and structural failures
Pramod K. Varshney,0,
Venkata S.S. Gandikota,0,
Natarajan Gautam,0,
Nadeem Ghani,0,
Prasanta K. Ghosh,0,
Jennifer W. Graham,0,
M. Cenk Gursoy,0,"wireless communications, machine learning, information theory, signal processing, wireless networks"
Charles T. Driscoll,0,"environmental engineering, environmental science, biogeochemistry, air pollution effects, human disturbance of ecosystems"
