Poster,Mo Abdallah,Riyad S. Aboutaha,Jeongmin Ahn,Ben Akih-Kumgeh,Jackie Anderson,Michael Blatchley,Michelle M. Blum,Ed Bogucz,Jesse Q. Bond,Mary Beth Browning Monroe,Katie Cadwell,Yue Cao,Elizabeth Carter,C.Y. Roger Chen,Ruth Chen,Biao Chen,Andria Costello Staniec,John F. Dannenhoffer III,Gabriel Silva De Oliveira,Alexander Deyhim,Bing Dong,Charles T. Driscoll,Victor Duenas,Sara Eftekharnejad,Ehat Ercanli,Matthew Erdman,Makan Fardad,Zhenyu Gan,Venkata S.S. Gandikota,Natarajan Gautam,Nadeem Ghani,Prasanta K. Ghosh,Jennifer W. Graham,M. Cenk Gursoy,Moamer (Mo) Hasanovic,James (Jay) Henderson,Endadul Hoque,Ian D. Hosein,Can Isik,Era Jain,Pankaj K. Jha,Chris E. Johnson,Alex K. Jones,Andrea Joseph,Garrett Ethan Katz,Bryan S. Kim,Rodrick Kuate Defo,Saman Priyantha Kumarawadu,Lihong Lao,Kasey Laurent,Andrew C. Lee,Tong Lin,Xiyuan Liu,Min Liu,Yizhi Liu,Eric M. Lui,Aoyi Luo,Zhen Ma,Sinéad C. Mac Namara,Duane L. Marcy,Shalabh C. Maroo,Karen Martinez Soto,Joao Paulo Marum,Jean-Daniel Medjo,Kristopher Micinski,Aaron Mohammed,Chilukuri K. Mohan,Young B. Moon,Shikha Nangia,Dawit Negussey,Susan Older,Anupam Pandey,Vir V. Phoha,Peter Plumley,Jason Pollack,Quinn Qiao,Zhao Qin,Qinru Qiu,Younes Ra’di,Farzana Rahman,Dacheng Ren,Utpal Roy,Baris Salman,Ashok S. Sangani,Amit K. Sanyal,Mehmet Sarimurat,Wanliang Shan,Ian M. Shapiro,Andrea Shen,Yilei Shi,Cindy Smith,J. Cole Smith,Pranav Soman,Sucheta Soundarajan,Yiyang Sun,Radhakrishna (Suresh) Sureshkumar,Yuzhe Tang,Svetoslava Todorova,John Trimmer,Pramod K. Varshney,Senem Velipasalar,Joseph J. Waclawski,Theodore Walker,Li Wang,Yeqing Wang,Yaoying Wu,Edmund S. Yu,Pun To (Douglas) Yung,Reza Zafarani,Teng Zeng,Jialiu Zeng,Jianshun “Jensen” Zhang,Teng Zhang,Junzhe Zhang,Yi Zheng,Fernando Zigunov
1,0.6222946961727137,0.680966696435056,0.7121682590497103,0.5638770754702727,0.3972004210801025,0.6947607034199416,0.6409391104771377,0.6397773849905233,0.7439555771445915,0.4711634223757063,0.5887740201623453,0.7024558293693687,0.6687271878180725,0.6672928892922393,0.7437989902342232,0.6937839083996975,0.6590766097501951,0.6743876187788916,0.6108738369162778,0.7314413838489328,0.717972221404444,0.6416652639627004,0.6948186691362279,0.6936546717945319,0.7320820825832668,0.7151518893073724,0.6484169823986148,0.7526857918834932,0.7186062302118184,0.7488173404097781,0.6909679373951784,0.7331235253587376,0.7353799173982587,0.6660495578507104,0.7583104428492823,0.7221007781590645,0.7348986264171844,0.6464690426718734,0.0,0.7625815453645314,0.6880301866907926,0.6854941370076005,0.0,0.0,0.0,0.7002480012313718,0.0,0.0,0.0,0.7303232319445921,0.0,0.7295836233820077,0.6846489167292217,0.7082401412182081,0.7279532883630844,0.0,0.7518605048811647,0.7185871411115414,0.0,0.0,0.7135030863145457,0.6760449023517113,0.7095597204625815,0.0,0.7393131310047645,0.6811309826481303,0.6566108696313934,0.6990968008442022,0.7113340542988364,0.0,0.6955164287516811,0.6930628088765948,0.6962824039385984,0.0,0.6475491403345615,0.7158514160624377,0.7315000005539442,0.6910484845571657,0.7172545149926364,0.6598903535027718,0.7459688018830569,0.0,0.68879215994691,0.0,0.0,0.0,0.6789854169627793,0.4115436059206957,0.0,0.0,0.0,0.659558222297092,0.7019490374330595,0.6803985127814748,0.67327774321402,0.0,0.6622483432682644,0.7083919112512909,0.6803405900052267,0.0,0.7523278139129134,0.0,0.7640172584925063,0.0,0.6912861033392931,0.7123779422488834,0.7125303500939884,0.0,0.7210321819688943,0.7215739393577715,0.6694002131205077,0.7766574966656807,0.7180335068425445,0.7141549736205977,0.7283915179729984,0.656238688926476
2,0.6604832010784447,0.6764030988316663,0.7575779638131872,0.6222534305452007,0.4543866558518724,0.7541709832360033,0.6761972216551405,0.6899228257688292,0.7823210834820388,0.5071436931069282,0.6453765288232731,0.7587030992114849,0.7269620441504399,0.7273505031157242,0.7996422811540248,0.7630385692633904,0.741705758059036,0.7282734181559744,0.675689308047153,0.7680388733574603,0.7859340241296503,0.6898881021412754,0.7179637447923135,0.756478688300068,0.7990481433956194,0.7615542765767974,0.7176982938393779,0.8007234599172737,0.7989534511754319,0.8211161422456381,0.7372398887242813,0.7935542382264181,0.7424081292248124,0.7383933313752178,0.8077605253064379,0.7529880222369691,0.8084930590714149,0.6879736871344688,0.0,0.8065131214354596,0.7354831810661836,0.736475584454389,0.0,0.0,0.0,0.7756839219773016,0.0,0.0,0.0,0.7909136596853538,0.0,0.7950840758115058,0.7104298910792921,0.7549969999168521,0.7512275305736075,0.0,0.7910471909060963,0.7595719965329537,0.0,0.0,0.7479228373414424,0.7580139273863767,0.7793757359678284,0.0,0.8229480300061216,0.733089710601936,0.7354484648083187,0.7296043635312619,0.7614244837769721,0.0,0.7840396471804278,0.7401811812591034,0.7661158501804859,0.0,0.7303805508098218,0.7471592145123339,0.7796648616110414,0.7718616252694446,0.7738655562158436,0.7056991854842137,0.7832157935533661,0.0,0.7341410791993846,0.0,0.0,0.0,0.7040233645730432,0.4514819799916014,0.0,0.0,0.0,0.7329254958278658,0.7536283789502753,0.7574079842483926,0.7120710701956567,0.0,0.7549728417877812,0.7521491110351792,0.7450644814400451,0.0,0.791648549178576,0.0,0.8141856246153206,0.0,0.7266617211162146,0.74167727320597,0.7789890353848065,0.0,0.7763587386676276,0.7511818794444544,0.7020068118021191,0.8251532026013144,0.7533475806084321,0.8043850110232866,0.7772085331161055,0.7289052901150864
3,0.6924799203183295,0.6837977079012538,0.7677364870305072,0.5977634508223486,0.4429449871573179,0.7599750254461233,0.6650758894150339,0.6846767393429826,0.7777938614198142,0.48026923993835746,0.6201096201364713,0.7485098340133705,0.7463488792785862,0.7565238521590334,0.7885083022329269,0.7557020680260793,0.747312704294664,0.7134476513361971,0.7101718207943016,0.7827970011180909,0.790746757101535,0.6930709614854951,0.7056942103191342,0.7549788793295634,0.8229135658498351,0.7668409070035201,0.693553972692506,0.7761936837523251,0.7734946296480485,0.8323208130150251,0.7495681584476052,0.7749251352695209,0.7632585145572115,0.7531532338044932,0.8268447484353779,0.7426243325751569,0.8394363246792758,0.6789242902971468,0.0,0.7955953588568188,0.7161760591010853,0.731643316428401,0.0,0.0,0.0,0.7795699579898185,0.0,0.0,0.0,0.7694839012665121,0.0,0.7877883998820854,0.7285380963773673,0.7854760538590329,0.7561447971330388,0.0,0.8080037172424498,0.7566210219849038,0.0,0.0,0.7620626232831446,0.7757187841220372,0.794836876431241,0.0,0.8284869005635044,0.7256615283181254,0.789021504923922,0.7418783115002785,0.7451890261262926,0.0,0.7709300700940697,0.7165148858591572,0.784776342870567,0.0,0.7036139669464122,0.7737619180931705,0.7631087390075033,0.7829422427965422,0.7569113306678835,0.768523276661196,0.7875661913338212,0.0,0.7661123513519799,0.0,0.0,0.0,0.6890537211133276,0.4629173669197083,0.0,0.0,0.0,0.7326377052663253,0.7272403855641671,0.7539377591204182,0.706753118784836,0.0,0.7666834557095302,0.7644475454800491,0.7594593125958939,0.0,0.8236412919258546,0.0,0.8093590388375188,0.0,0.7325362657129282,0.7407130561027732,0.7890210986281545,0.0,0.7893494124882912,0.774039199650404,0.7296835348044017,0.8356860727742379,0.7371314023120625,0.8034072585295065,0.7886127048727237,0.6995629223443117
4,0.666622721668886,0.6734358874686381,0.7608273908711344,0.6078023039013367,0.4543324262890955,0.7497142938060534,0.6793490319187995,0.7212330160833218,0.7883792806691062,0.4963408327635356,0.6167220436669231,0.7243846386634936,0.7308448000516844,0.7298948905514374,0.8026991187887884,0.7851504794655677,0.739499030681625,0.721637537235078,0.6702582206872822,0.7663672984581953,0.7477106068638184,0.6921557831642644,0.7211106324344387,0.7433346657123516,0.778646464968403,0.7470550105179966,0.7365384703845868,0.7967449636234524,0.82789711326138,0.822124077007189,0.7410393441190553,0.7906436926359632,0.7545100766875451,0.7709383493489351,0.8161096267622772,0.7620136025810645,0.799008318015565,0.7130257355656413,0.0,0.7916017991518199,0.7834209716695619,0.751884285591253,0.0,0.0,0.0,0.7626029999377195,0.0,0.0,0.0,0.7954904360829694,0.0,0.7983683553762405,0.6911381210683,0.7338991779384839,0.7313712258636315,0.0,0.7917615652028862,0.7435856751898029,0.0,0.0,0.7808119762539475,0.7419887191410025,0.7481783757579845,0.0,0.8016550799790991,0.7428214144061225,0.7159720465406717,0.6925368608986213,0.7919611011641091,0.0,0.7887216306282436,0.7799300938830854,0.7595659607220399,0.0,0.7765719227139417,0.7327215518804048,0.7774356761410363,0.753985590823081,0.7777719599458075,0.6951426592244363,0.7881804473476333,0.0,0.7246444469407162,0.0,0.0,0.0,0.7057179674724612,0.4587590157437056,0.0,0.0,0.0,0.7447796080768038,0.7449710368011951,0.7698890536986461,0.7398823099760662,0.0,0.753779661864107,0.762508965849317,0.7373596005452172,0.0,0.7582568155180649,0.0,0.8162014022896501,0.0,0.7287615035557544,0.736266739189262,0.7565102367990466,0.0,0.7589104808461693,0.7647685122890622,0.6879217912613015,0.8218410112502335,0.7621369783051613,0.807324357577596,0.7708624633058359,0.7372939454376927
5,0.6262882924807305,0.6439445156419107,0.7098788700146084,0.5837563675997999,0.446711972191689,0.7336088251685967,0.6321681887920234,0.6301137123028185,0.7500308089230434,0.4917574261387239,0.6154650709346483,0.6827242313329734,0.6752624585748551,0.662374061142371,0.7829200949197643,0.6811739150491195,0.6711426687001921,0.6831770175119546,0.6062369668985219,0.7244496659173705,0.6990752481435311,0.6532303707304977,0.6675197708819406,0.6875779899413803,0.7296646363762499,0.7268996814307556,0.6414295773457608,0.7341217162399848,0.7213882236115642,0.759581460220282,0.6748527771987977,0.7309094364004345,0.7280441373708765,0.6624222987721305,0.7489236323872013,0.719522858121362,0.722038777926982,0.651941553406502,0.0,0.7870589159406397,0.676827703056479,0.6975041661028053,0.0,0.0,0.0,0.6864536633560042,0.0,0.0,0.0,0.7299298597745397,0.0,0.7400670730566755,0.6664082233637957,0.6890968730665251,0.6787333552713616,0.0,0.7462105384693263,0.7243447148616362,0.0,0.0,0.7105598416655924,0.6991565865050876,0.6848405921239182,0.0,0.7369610271501505,0.7026130897811654,0.6509285225204815,0.6835460865653612,0.7121663029475781,0.0,0.6729201449473462,0.6854754869377794,0.6705796002229089,0.0,0.6641443951419667,0.7254026561953644,0.7198558913235427,0.6796524139905031,0.7130393814806669,0.6588939689350092,0.7587392505381502,0.0,0.6746208091038493,0.0,0.0,0.0,0.6631307104754736,0.43070945238780817,0.0,0.0,0.0,0.6577706595712419,0.707341081288255,0.6677111511112419,0.6671031852825968,0.0,0.6518150938850241,0.7225136050371046,0.7013210584110099,0.0,0.713904779565243,0.0,0.7794602443669923,0.0,0.6784364307717631,0.7358823651068782,0.6942625450840173,0.0,0.7210064181876037,0.7363277159275695,0.7047723518085027,0.7710325774512089,0.7109190511861291,0.7229766399810138,0.7355070197065882,0.6533796445263982
6,0.693692194063039,0.6991932331515734,0.7875057047627575,0.6160448118881368,0.44858753491137016,0.7786108737535743,0.6930047272596329,0.6861572740962554,0.8143763544522543,0.5095140346582289,0.6457452671477887,0.7472139012401091,0.7225918808430056,0.7399381869218612,0.8178548606107798,0.7404388432523231,0.7359850692478153,0.7158836414456171,0.6791080895806129,0.7918881130384737,0.7682088069886156,0.695420821328429,0.7238478265447422,0.755511933785891,0.794704367764024,0.7548909447819115,0.7030222645813475,0.7882287116031129,0.7646457379787558,0.8128976037137903,0.7377067025844548,0.7856515298841558,0.7762686163150346,0.737109355307477,0.8322552100407352,0.779240177278593,0.784242809096104,0.7164974157303179,0.0,0.8262352390483847,0.7427202798107109,0.740513511143196,0.0,0.0,0.0,0.760912147154728,0.0,0.0,0.0,0.7838360863175451,0.0,0.7842752165099368,0.7390445690468469,0.7586891569554703,0.7528207562655006,0.0,0.8135803715637702,0.7842717640710251,0.0,0.0,0.7807544665570927,0.7612040536451734,0.7576731971434767,0.0,0.7921780105400548,0.7328555321060679,0.7310747761111763,0.7326626366282317,0.7643401148933286,0.0,0.7276783524347976,0.7454234021547894,0.7587284505954777,0.0,0.7093991650137713,0.8036050789531579,0.804474288914756,0.7559299874294553,0.7808004751422488,0.7309646367785779,0.8051119730459559,0.0,0.7345227650971214,0.0,0.0,0.0,0.7306077181879146,0.45966394680861683,0.0,0.0,0.0,0.7250013136574284,0.7540105596030517,0.7444399280561763,0.7128878903915787,0.0,0.729035801644335,0.763542773963258,0.7544457949924948,0.0,0.8005799697327178,0.0,0.8353358746340598,0.0,0.7393937908512732,0.7784863433812318,0.7676664235336049,0.0,0.7835625382562901,0.7606031503500481,0.7459009924530072,0.8306945025381314,0.7741476076874153,0.7787870458951409,0.7916321102326623,0.7081841295691593
7,0.7030357734018313,0.7000211142312344,0.7789655125070618,0.5722743508083155,0.3958240158570396,0.7534729287543293,0.7196242379876314,0.7076084007163573,0.8074527639756393,0.47278586147053936,0.5917331363352465,0.7341901325507407,0.7191507552328634,0.7405130506260508,0.77116799192706,0.7289489790286665,0.7479519309045357,0.6623680643443915,0.6813921065753473,0.787884702074338,0.7631774428170065,0.7075306647345395,0.7177693099337883,0.7455879108885368,0.7772068570295637,0.7709872118331028,0.707115875879069,0.7850014107264216,0.7850572793026929,0.801893722477327,0.7733098945523973,0.8017475072726283,0.7515895880207533,0.7402370079151737,0.8025889663155336,0.7661651660315947,0.7722455945397444,0.7774485220139608,0.0,0.8355023401594419,0.7618683993641628,0.7715406159825678,0.0,0.0,0.0,0.7635303518708131,0.0,0.0,0.0,0.7868511216046865,0.0,0.8067978656898799,0.7210279049640079,0.7505219855705957,0.724036407509669,0.0,0.8016289547024471,0.7377146982073102,0.0,0.0,0.8096098427329956,0.7424091482375005,0.7475881842817362,0.0,0.7914853296646256,0.7593125202552462,0.7077166384692084,0.7119664628695669,0.7694080224165983,0.0,0.7396952259207066,0.7550572898299267,0.7480524134438469,0.0,0.7256513463040408,0.8052432601841614,0.7913299880145624,0.7479813042618295,0.7891820248165361,0.6946312091990168,0.8192090771683889,0.0,0.7272310153019961,0.0,0.0,0.0,0.780525895722916,0.43797223052114687,0.0,0.0,0.0,0.7347063631351385,0.7462985416615581,0.7338916478446934,0.7278085379302711,0.0,0.7212746096340139,0.7971031824014492,0.7341417925898548,0.0,0.7564772894572593,0.0,0.8414703224448923,0.0,0.7474545287659186,0.7724188203121406,0.7502259802475018,0.0,0.7382014391013624,0.7866544851463474,0.7410226292598718,0.8194933033535953,0.7740034413159653,0.779794989923791,0.7766102237940977,0.733363047435546
8,0.6942461302369505,0.7078688731574903,0.7907789157376562,0.6441381310279259,0.4707226697570467,0.7652146329039774,0.6914317552805936,0.7300923850939104,0.8130349533655012,0.5073348433837819,0.6695818050610043,0.729213886080773,0.7653155544876372,0.770401518659834,0.80211014296354,0.7715731796952666,0.7654647651551658,0.7704045504528816,0.7068544622557807,0.8276033999468002,0.7875286085996037,0.6923100898936946,0.7263401703835386,0.7770638049992188,0.8135734379387585,0.7774817866046663,0.7093162444761087,0.7829511847321615,0.773875954694806,0.8344291528662571,0.7502859919002018,0.7710208241642021,0.7947722300046478,0.7405467845561637,0.8244999587691959,0.7686096188532506,0.7947299662937197,0.7176066258078188,0.0,0.8185014215822922,0.7041370372212119,0.7537873611343652,0.0,0.0,0.0,0.7899650505394977,0.0,0.0,0.0,0.7885414696378088,0.0,0.8118449101319881,0.7399772798693287,0.7948195784592452,0.7622336450742481,0.0,0.8240905189078829,0.7688521120459788,0.0,0.0,0.7949287047025015,0.7983401801771669,0.7589008040013916,0.0,0.794208055573972,0.7456302449207648,0.7613527469343192,0.7468721811517086,0.7711964613701353,0.0,0.7532318174978057,0.7448193273583784,0.7762991239680983,0.0,0.7096992858029876,0.7486745150237949,0.7825100075155674,0.7734224708277955,0.7586903306358568,0.7163488436741675,0.7890321533573654,0.0,0.7878358958789721,0.0,0.0,0.0,0.7207146565007295,0.45300239531270087,0.0,0.0,0.0,0.758814809946233,0.7653805539091103,0.7585192023202215,0.7534121085515925,0.0,0.7280287890496389,0.7628810053191382,0.7356288426912232,0.0,0.7965267272753297,0.0,0.8328910173902117,0.0,0.7733182859574909,0.7520780136414297,0.7767254172667376,0.0,0.7703309793941957,0.7691768090908996,0.7163623111011777,0.8486001985205653,0.7517661382356817,0.7868132326802021,0.7945952862912454,0.7524839943968786
9,0.35531116445418826,0.2959681116079104,0.37594688547933874,0.5239299088660132,1.0000000000000013,0.38402817323999267,0.3029258413599631,0.33165130718677777,0.3981475581210299,0.4858876319946564,0.5311939720236907,0.2703316651732929,0.37415101238306253,0.3414147542631094,0.44846869170804465,0.32815520216805405,0.39491053696535905,0.5183331086363995,0.2930187514285321,0.42858872943502513,0.34567811690243117,0.33635546736445765,0.291849055381336,0.2964219256094376,0.35241837947316673,0.4045618888869012,0.29416652858267167,0.3864978722575611,0.3439249936799929,0.398105887972567,0.36388669187848466,0.3652134845452875,0.4202762990009294,0.29207591906364144,0.39768078434889237,0.35448145048922425,0.3884805637145793,0.324436223862614,0.0,0.45014474207378435,0.3351226543902481,0.4140639224855987,0.0,0.0,0.0,0.349292324866179,0.0,0.0,0.0,0.3901548414102202,0.0,0.4307860766892782,0.3025221227772642,0.37341687820233205,0.3310366832663816,0.0,0.38664303379120224,0.3586324726072568,0.0,0.0,0.37747194683092034,0.38321957893802183,0.32578105289448933,0.0,0.42334908010112116,0.3656565369202753,0.34069688356848504,0.2696979361529571,0.36672819132224027,0.0,0.3290148778126827,0.3538296076080188,0.33040294630302314,0.0,0.3709486390742808,0.37559682159272834,0.36985443923733347,0.32403821966500296,0.3734803203687389,0.35271113308116187,0.42112547910531395,0.0,0.3483272063394395,0.0,0.0,0.0,0.32129972110019084,0.3457842067949235,0.0,0.0,0.0,0.32517482468998743,0.3850276081394346,0.3278478510219297,0.353468438199198,0.0,0.34118962187592916,0.3876578799401513,0.36994933363452426,0.0,0.37157367718766054,0.0,0.4487974194229329,0.0,0.31244898643944946,0.3606976944343405,0.3481206096918205,0.0,0.33978290811259526,0.4288386112531461,0.28279680730122186,0.42178523724807265,0.35651432278548445,0.39915160920899817,0.3767359394571516,0.3113788518143565
10,0.35531116445418826,0.2959681116079104,0.37594688547933874,0.5239299088660132,1.0000000000000013,0.38402817323999267,0.3029258413599631,0.33165130718677777,0.3981475581210299,0.4858876319946564,0.5311939720236907,0.2703316651732929,0.37415101238306253,0.3414147542631094,0.44846869170804465,0.32815520216805405,0.39491053696535905,0.5183331086363995,0.2930187514285321,0.42858872943502513,0.34567811690243117,0.33635546736445765,0.291849055381336,0.2964219256094376,0.35241837947316673,0.4045618888869012,0.29416652858267167,0.3864978722575611,0.3439249936799929,0.398105887972567,0.36388669187848466,0.3652134845452875,0.4202762990009294,0.29207591906364144,0.39768078434889237,0.35448145048922425,0.3884805637145793,0.324436223862614,0.0,0.45014474207378435,0.3351226543902481,0.4140639224855987,0.0,0.0,0.0,0.349292324866179,0.0,0.0,0.0,0.3901548414102202,0.0,0.4307860766892782,0.3025221227772642,0.37341687820233205,0.3310366832663816,0.0,0.38664303379120224,0.3586324726072568,0.0,0.0,0.37747194683092034,0.38321957893802183,0.32578105289448933,0.0,0.42334908010112116,0.3656565369202753,0.34069688356848504,0.2696979361529571,0.36672819132224027,0.0,0.3290148778126827,0.3538296076080188,0.33040294630302314,0.0,0.3709486390742808,0.37559682159272834,0.36985443923733347,0.32403821966500296,0.3734803203687389,0.35271113308116187,0.42112547910531395,0.0,0.3483272063394395,0.0,0.0,0.0,0.32129972110019084,0.3457842067949235,0.0,0.0,0.0,0.32517482468998743,0.3850276081394346,0.3278478510219297,0.353468438199198,0.0,0.34118962187592916,0.3876578799401513,0.36994933363452426,0.0,0.37157367718766054,0.0,0.4487974194229329,0.0,0.31244898643944946,0.3606976944343405,0.3481206096918205,0.0,0.33978290811259526,0.4288386112531461,0.28279680730122186,0.42178523724807265,0.35651432278548445,0.39915160920899817,0.3767359394571516,0.3113788518143565
