Poster,Mo Abdallah,Riyad S. Aboutaha,Jeongmin Ahn,Ben Akih-Kumgeh,Jackie Anderson,Michael Blatchley,Michelle M. Blum,Ed Bogucz,Jesse Q. Bond,Mary Beth Browning Monroe,Katie Cadwell,Yue Cao,Elizabeth Carter,C.Y. Roger Chen,Ruth Chen,Biao Chen,Andria Costello Staniec,John F. Dannenhoffer III,Gabriel Silva De Oliveira,Alexander Deyhim,Bing Dong,Charles T. Driscoll,Victor Duenas,Sara Eftekharnejad,Ehat Ercanli,Matthew Erdman,Makan Fardad,Zhenyu Gan,Venkata S.S. Gandikota,Natarajan Gautam,Nadeem Ghani,Prasanta K. Ghosh,Jennifer W. Graham,M. Cenk Gursoy,Moamer (Mo) Hasanovic,James (Jay) Henderson,Endadul Hoque,Ian D. Hosein,Can Isik,Era Jain,Pankaj K. Jha,Chris E. Johnson,Alex K. Jones,Andrea Joseph,Garrett Ethan Katz,Bryan S. Kim,Rodrick Kuate Defo,Saman Priyantha Kumarawadu,Lihong Lao,Kasey Laurent,Andrew C. Lee,Tong Lin,Xiyuan Liu,Min Liu,Yizhi Liu,Eric M. Lui,Aoyi Luo,Zhen Ma,Sinéad C. Mac Namara,Duane L. Marcy,Shalabh C. Maroo,Karen Martinez Soto,Joao Paulo Marum,Jean-Daniel Medjo,Kristopher Micinski,Aaron Mohammed,Chilukuri K. Mohan,Young B. Moon,Shikha Nangia,Dawit Negussey,Susan Older,Anupam Pandey,Vir V. Phoha,Peter Plumley,Jason Pollack,Quinn Qiao,Zhao Qin,Qinru Qiu,Younes Ra’di,Farzana Rahman,Dacheng Ren,Utpal Roy,Baris Salman,Ashok S. Sangani,Amit K. Sanyal,Mehmet Sarimurat,Wanliang Shan,Ian M. Shapiro,Andrea Shen,Yilei Shi,Cindy Smith,J. Cole Smith,Pranav Soman,Sucheta Soundarajan,Yiyang Sun,Radhakrishna (Suresh) Sureshkumar,Yuzhe Tang,Svetoslava Todorova,John Trimmer,Pramod K. Varshney,Senem Velipasalar,Joseph J. Waclawski,Theodore Walker,Li Wang,Yeqing Wang,Yaoying Wu,Edmund S. Yu,Pun To (Douglas) Yung,Reza Zafarani,Teng Zeng,Jialiu Zeng,Jianshun “Jensen” Zhang,Teng Zhang,Junzhe Zhang,Yi Zheng,Fernando Zigunov
1,0.5229901448749272,0.5224759537378131,0.6784517697960476,0.5747733417502655,0.6284670043770162,0.6447709624849209,0.6251811492033115,0.5864342149693029,0.5505689053290027,0.5573020010415143,0.5779406795343514,0.633534824974857,0.5647201571840571,0.6286082488825373,0.7041715429116182,0.712208338311558,0.6104284920323823,0.6350081452197234,0.5575468062509854,0.6301665567101447,0.6627010472155903,0.5525028178959004,0.6453043720874544,0.5497820270360962,0.6137859597552792,0.5915544612222794,0.6472418016868469,0.70883963028776,0.681527513398033,0.6726097346425822,0.6904908531330242,0.7154570470635991,0.6801100855763575,0.6057588146121609,0.6662148706158896,0.7414742635887999,0.6452940179904533,0.6528347778071731,0.0,0.6558416538760133,0.7041111244897044,0.5176808734756043,0.0,0.0,0.0,0.7021640126964452,0.0,0.0,0.0,0.6338445561658382,0.0,0.5551808320503214,0.7194257999516168,0.6072967354435111,0.7121256694165635,0.0,0.7306682247898619,0.6531592440214602,0.0,0.0,0.635996665271668,0.5379368880167862,0.6895286424166645,0.0,0.6892180987458868,0.41428219739244404,0.6357614670409181,0.686159513666081,0.7116917354928883,0.0,0.6412570594699467,0.7177798805827207,0.7693953238449535,0.0,0.6108993882280489,0.6885363148273373,0.7161757516433046,0.6733723153792264,0.6816911746375283,0.6357350720604682,0.6678676959142895,0.0,0.5331332528370782,0.0,0.0,0.0,0.7968518825111964,0.5427736089596737,0.0,0.0,0.0,0.6041445990793436,0.7314385706669713,0.7266432430456192,0.5425854694238851,0.0,0.635569798640392,0.49588525201310546,0.5363812546088076,0.0,0.7484625242133428,0.0,0.6157778986184436,0.0,0.5873256593041137,0.6319893050129771,0.691984292121966,0.0,0.6513738787760875,0.44301572261775696,0.5707312046006348,0.6922919719808507,0.7455358213453369,0.599889082289087,0.6929336391531327,0.5383079421567761
2,0.5558871298532074,0.5430247530878578,0.708243325575558,0.5695153765213893,0.5950923153696552,0.6539764498576625,0.5542619385897044,0.5954063346895482,0.6090668569472363,0.48642244105170196,0.5434503412063032,0.6997977524060747,0.6655954164324351,0.7080901858273727,0.68914874538519,0.8068408434184783,0.6913712375818933,0.66296286631051,0.621026927100649,0.6496144491860701,0.7616603210037901,0.6593251698720269,0.6200469696651831,0.6293873664443453,0.7388944629087865,0.6503628611644684,0.7342508093508642,0.6865650597328554,0.7876580763429176,0.7573771466500256,0.7185828197712327,0.6528046437323303,0.6034523365640464,0.6915340047367429,0.7108064664891381,0.6580609311038642,0.7709150835552944,0.6366115906206343,0.0,0.6225572798359572,0.6788546904508332,0.609294534216718,0.0,0.0,0.0,0.7796454560873455,0.0,0.0,0.0,0.6710302784524051,0.0,0.634189043237898,0.7186905707298583,0.6867883317695379,0.7140071952768984,0.0,0.7203349134226358,0.6352554262932673,0.0,0.0,0.653409538381644,0.6367700316467653,0.7937407476678523,0.0,0.7847735082127356,0.5294367320680446,0.7157457348808179,0.762604082604726,0.7388044917516773,0.0,0.7219837683527591,0.6458202658408091,0.8106410307164101,0.0,0.6930269610393054,0.6970336167771612,0.704366071620042,0.7681166857733411,0.6648707953541159,0.7216842759954901,0.6913071731362889,0.0,0.6160066081441847,0.0,0.0,0.0,0.6948107880386806,0.5768048873905701,0.0,0.0,0.0,0.7027444585007736,0.687078914388162,0.7738815868227025,0.5626181920617379,0.0,0.7724260232123568,0.5989018402855231,0.6717683419268213,0.0,0.8284229872994652,0.0,0.6740327720444237,0.0,0.6077034442586626,0.6330685429858182,0.6765725263883237,0.0,0.708835615658941,0.538466788720403,0.6263561137664699,0.7632452452585562,0.6610262151314469,0.6864190308204443,0.6806610992526483,0.6133129289894812
3,0.6141806379124355,0.597398452656963,0.695363061319849,0.559040608288076,0.5098608004656942,0.6115053009887523,0.5237149010619899,0.6522259616987133,0.6206768253205139,0.46142770391805793,0.5437212248036903,0.607040434390871,0.6469911325754221,0.7501170844017365,0.6519679789236694,0.7328072748484494,0.6793036653303852,0.6853628254706492,0.610070367672604,0.6543491344342302,0.7818190392759092,0.691618578087198,0.5781873377316101,0.6955474280226785,0.7306574748024536,0.6665076133347513,0.7393656042523391,0.6230939864366578,0.7331259790892573,0.801067391113701,0.6872655377594898,0.6641965034533949,0.6048976935044763,0.6994989987176345,0.7063854912043872,0.5923857131986062,0.8193590065426596,0.5699916946679736,0.0,0.5948375963171808,0.6062517983898278,0.5888909732719613,0.0,0.0,0.0,0.7098550917606625,0.0,0.0,0.0,0.6471231918460748,0.0,0.6978975949047606,0.6863320373868593,0.7288016916092936,0.6515183350738354,0.0,0.6883318510758293,0.6119597079815053,0.0,0.0,0.6405347551440843,0.6558771567508468,0.7254636373641313,0.0,0.7764028388702586,0.5376141260467068,0.7838859834195202,0.7870260616388504,0.7104975699362288,0.0,0.7103879990311011,0.5943431456904105,0.8021226243967403,0.0,0.6428025965643104,0.7087681429624473,0.6340899703780551,0.76467240365903,0.6294150811456909,0.7777456946562521,0.6690435960281116,0.0,0.6996567635414264,0.0,0.0,0.0,0.6125847336976215,0.6340567349588272,0.0,0.0,0.0,0.7399187896722825,0.6045550417717183,0.7426897014535349,0.5614043519353258,0.0,0.7496915869929915,0.6301346971853337,0.7125919419524683,0.0,0.8347254697151563,0.0,0.6851832335152387,0.0,0.6065942494826625,0.6191902605474537,0.7069598174851883,0.0,0.7189270901100034,0.5833936414450531,0.6643393155169653,0.7815984185823873,0.5842459166989113,0.7343609523475951,0.6765244679896414,0.6382265328365662
4,0.5474123737894218,0.5576509982152055,0.676607577347746,0.5761274853678385,0.4907603348274358,0.6485249350310871,0.5768290406827395,0.7046630232245182,0.5835782056502844,0.4145002625442757,0.5450610395129644,0.5535211885729351,0.6519285605716623,0.7010650573598801,0.7107001134382995,0.7762729599980365,0.65952996282111,0.6521219802162468,0.5782469759986882,0.643450141772072,0.6054208718255555,0.6698661624129686,0.5972734309351464,0.646492068151582,0.6127876066886465,0.5779541649129784,0.7963219720854736,0.635141275704959,0.7688750444306154,0.7339143447351635,0.7013226180343439,0.6738151962403627,0.6989841497197716,0.7544018218126097,0.773234552329244,0.666068995106782,0.7291823606920969,0.6499499378833196,0.0,0.6303116000294505,0.7417240380811537,0.6197414817651302,0.0,0.0,0.0,0.6996791205466425,0.0,0.0,0.0,0.755447335057693,0.0,0.6341570040567996,0.6023178648924272,0.5937675658891317,0.6028540571280634,0.0,0.6544057230241851,0.6319486442308705,0.0,0.0,0.6607040531104073,0.6115031607173825,0.6898762239627294,0.0,0.6665684358257851,0.5676438365673537,0.6219363134529066,0.6601692362056282,0.7370700296373955,0.0,0.7738112472683494,0.7467337022194769,0.6827732008450195,0.0,0.7805621591434334,0.6113313797387889,0.7084430025380208,0.6599108883779577,0.7766674768760595,0.6478244718560654,0.6299548162994844,0.0,0.6008809002879072,0.0,0.0,0.0,0.6427090033312818,0.5730658561560746,0.0,0.0,0.0,0.7087171172331577,0.6833257867659287,0.7480816477391846,0.6582669552058961,0.0,0.6658695956560132,0.5938854536179103,0.6077031604542746,0.0,0.6592812531723911,0.0,0.6343627109086907,0.0,0.6783358469568178,0.6269063185184854,0.6887728843291129,0.0,0.6497510163253545,0.5368062628184492,0.5649595456348777,0.6721233822501742,0.6679002784799711,0.6477871596268743,0.6688546166815489,0.6504700429965757
5,0.600861462868292,0.5112192758472757,0.7134438513811877,0.6502195343724498,0.5670887608930167,0.7743400328163823,0.6323097846599391,0.5755416750961615,0.6103395274228619,0.6039415067197861,0.6370524985955243,0.5859844602987596,0.5993787014362221,0.6588040840161635,0.8037017675008788,0.6806263230264543,0.6317300284059769,0.6673257536552885,0.585410709392272,0.6117341987937502,0.6013727857955378,0.6058610329861579,0.5886187239354179,0.5924902338968835,0.6497000571621174,0.6258890954005552,0.6718178558619775,0.6313250938844316,0.687561745440275,0.7184797708999942,0.6621285651778054,0.6526543667145511,0.6529638677624814,0.6427399575604187,0.6822510183667997,0.7325155214886074,0.6199510956190397,0.66266044039525,0.0,0.7553157131273517,0.6904442517699503,0.5111357985704759,0.0,0.0,0.0,0.6872784911378343,0.0,0.0,0.0,0.6172348039071013,0.0,0.5867151882433911,0.7417910124368803,0.585085528789571,0.6001937775669961,0.0,0.7422391715068675,0.721951952795204,0.0,0.0,0.6890789347235462,0.5997572208995025,0.6629440716189423,0.0,0.6414395349475485,0.4786741280020359,0.6842573221232957,0.7182117686129234,0.7871634225865466,0.0,0.6293970527867433,0.686919711149744,0.6813526159177538,0.0,0.6240765807170059,0.7204269405680663,0.7529353787372883,0.6620161793106438,0.6999155235668388,0.6318035362933662,0.7004155171481569,0.0,0.5547356675891979,0.0,0.0,0.0,0.7515714733974819,0.5548916808737123,0.0,0.0,0.0,0.6763836832705034,0.7725578066969725,0.7340473886233007,0.6098597411033461,0.0,0.6630387022707562,0.5502611696630161,0.6107085744814834,0.0,0.6868426356804441,0.0,0.6594259242351121,0.0,0.6378474343194658,0.7446950394695162,0.6241182545263798,0.0,0.6753176783227004,0.5415591952225581,0.7388847833460209,0.6776614280434254,0.7346150364231855,0.6500132557231241,0.7331840381555103,0.6156868116479964
6,0.597339510126256,0.593559355188626,0.8052825127263785,0.696602402103603,0.5771563248239349,0.7360032488624,0.6717478281037161,0.6312718806388645,0.6970946787747795,0.5940626439197983,0.6880271786158201,0.6334489510260152,0.6106381968970181,0.7219820309680193,0.7511940057678098,0.7075808994869188,0.6827613953383548,0.6794598966117527,0.6055577868148022,0.7139273274704843,0.7129669934285429,0.6415659505625462,0.6731738394707115,0.6712656891614234,0.6957437829462334,0.6537377091972607,0.7121780469245266,0.6918736520387355,0.7202416788091187,0.7454553200711102,0.7010314378395821,0.699332129528156,0.6934421737809711,0.685361105727749,0.7482978278889961,0.7661293430471173,0.6914498624109277,0.7362491199600355,0.0,0.755624329791175,0.7199805116281418,0.5704446443420637,0.0,0.0,0.0,0.7613645956071953,0.0,0.0,0.0,0.6582242705056313,0.0,0.6312154731122878,0.7766236642304108,0.6511218122108712,0.6738497382856675,0.0,0.7988100141966388,0.7403112173328084,0.0,0.0,0.7517001581253014,0.6252171954193824,0.7134498190717549,0.0,0.7385933610129447,0.49494318761022904,0.7077131806545564,0.767404865874248,0.7723074394007945,0.0,0.6823675804479075,0.7333543060402634,0.7669730687433661,0.0,0.6765487351039462,0.8347655634629694,0.8223060754407864,0.7192474646032412,0.7191462000497474,0.6931954955693618,0.7328462318903743,0.0,0.6092259022709818,0.0,0.0,0.0,0.8193662726620152,0.5767658476153418,0.0,0.0,0.0,0.6833081333033079,0.7747978210366969,0.7698589811461982,0.626086760761094,0.0,0.7147528224815234,0.581511777384783,0.6352610105047178,0.0,0.76479835703407,0.0,0.7598036096247045,0.0,0.686161253368694,0.7734029657047605,0.6832477147024874,0.0,0.7021377318485209,0.5505251515590963,0.719616116975239,0.756446019591766,0.78760680595315,0.675208129462171,0.731856786288169,0.6225872362859746
7,0.6026760585896774,0.6091687808436085,0.7540713082340824,0.6049618843706686,0.40303459498207483,0.7195105283491383,0.6636441240050718,0.6361841466650364,0.696643394609888,0.4879085854215564,0.6072001481082289,0.5871969657876466,0.6135672158456671,0.7309367635856628,0.6768288917957878,0.6751990353556724,0.6903482326482631,0.5787992047996993,0.6219849897818412,0.7181947606000904,0.6600370885990607,0.6636428688948487,0.6289317550121328,0.6853357813622128,0.687840970718708,0.6431799817432624,0.7010886725051048,0.6500708057116805,0.6964780017668634,0.6964060320499149,0.7309594151654782,0.6655624562092264,0.6613485780873699,0.6913534476212916,0.753672698348337,0.7215238043692721,0.6552475426783981,0.8079392125793808,0.0,0.7543708466178135,0.7628323832957496,0.6242262784213358,0.0,0.0,0.0,0.7163081792271392,0.0,0.0,0.0,0.6356941284643964,0.0,0.6490651033789747,0.6948671409050233,0.6215459207688966,0.6392176152648683,0.0,0.7235502151562264,0.7187769541122108,0.0,0.0,0.7691802601775216,0.616918392578551,0.6686823481199847,0.0,0.6661600329951555,0.5866579688441442,0.6699790147016628,0.6957707062811505,0.7891408511022927,0.0,0.6380598701897525,0.6983558698093103,0.6634334212019409,0.0,0.676169850635988,0.875675931083464,0.7819316858479745,0.6877566367877193,0.7558531679885692,0.6353163372964591,0.7224770631911626,0.0,0.6338639710150542,0.0,0.0,0.0,0.7608439975792783,0.5867940078127896,0.0,0.0,0.0,0.682359578387172,0.7614464663934469,0.6848435022050828,0.6462564461510854,0.0,0.6679242217389111,0.6573268352843424,0.6528196608410166,0.0,0.6927555520431639,0.0,0.7517748566447278,0.0,0.7050153183460178,0.7344721282268426,0.6074438608816033,0.0,0.6229061296352202,0.6645825232063661,0.7398089076706336,0.7363336289639318,0.7420743106129917,0.6782379944279414,0.6928477018601694,0.6583109431202482
8,0.5850425848046696,0.5802073440769662,0.7575273796829958,0.5925089958531367,0.5449935456392595,0.6719136960006513,0.6194144169229605,0.6709556336841628,0.6299721354579204,0.4482488028178303,0.5978198325709819,0.6614814089737169,0.6330706011572436,0.8051654872577836,0.7307053382841059,0.7360740141355266,0.6717637351550286,0.6938907494162031,0.6673884134231937,0.748171005286646,0.7549652459589108,0.6129926819412267,0.6245813067152783,0.672548734701452,0.751793759807201,0.6874705937125313,0.7169812125848544,0.6489141337298325,0.7793401348874863,0.7888875540128708,0.6861683457773865,0.6868322303017185,0.6428895977569781,0.6507842434805173,0.7458848589843294,0.6833520483637087,0.7179555751450855,0.6804415726734032,0.0,0.6698637021933495,0.7072639854319736,0.564092001291178,0.0,0.0,0.0,0.8110876307222122,0.0,0.0,0.0,0.6542547365540066,0.0,0.6219510330700048,0.732201772665081,0.737428312021409,0.7391303626476877,0.0,0.7990633539714872,0.664066874965695,0.0,0.0,0.6924470854087269,0.6580638385023064,0.6859761919113228,0.0,0.6891979422851512,0.481208528059183,0.7646680680935134,0.8014846915638575,0.7312526580303936,0.0,0.7112516348561251,0.6862911703622567,0.7852495985668284,0.0,0.6640795211850825,0.6488692691125301,0.7194889632023077,0.7894469431077293,0.6600492699583158,0.6761598970739781,0.7132403531521435,0.0,0.6973027547239663,0.0,0.0,0.0,0.7187197759929969,0.5560272659820138,0.0,0.0,0.0,0.7697640277095328,0.7212857917823456,0.7649699144173617,0.6467201346595451,0.0,0.7359354549452254,0.5779616517436977,0.5848695884526668,0.0,0.7592532557308832,0.0,0.7030517405488457,0.0,0.6642836362935705,0.6387254315223068,0.7407719149013308,0.0,0.6889749715264066,0.5530798300556969,0.6146022641918143,0.7399258068697615,0.6868433408024834,0.6788217252778306,0.7409048885524586,0.6708200265200044
9,0.3017997206991726,0.2807763407604301,0.45103581941994186,0.5859342551665152,1.0000000000000016,0.40739610918068075,0.31966468116661034,0.330405629703854,0.3232759632681696,0.6231498983722109,0.551618464096729,0.3708765553020573,0.3916367408104933,0.3810343794641732,0.5441215693655176,0.479904389389332,0.4443313412710937,0.6199106609587299,0.4162392158995817,0.32391163437333753,0.4390898733124594,0.3936755325025813,0.3359182449085092,0.28922017750799994,0.34242023855716675,0.41919061632644006,0.41052226959572885,0.45243368927520106,0.518740191103999,0.4844804107426811,0.5123974881230183,0.481080847824101,0.4646470081586567,0.33449204409719663,0.4207887149834488,0.4838467671946025,0.4133193392599252,0.3570623679633319,0.0,0.3790206630685003,0.3937278905535409,0.3058917118244265,0.0,0.0,0.0,0.48225770985780725,0.0,0.0,0.0,0.4389639998796875,0.0,0.38278404332439425,0.45742006628332316,0.4017670070936453,0.40899084657996543,0.0,0.49233417785174954,0.3553402541131464,0.0,0.0,0.3813927121014184,0.3900170141024438,0.45667065555141206,0.0,0.5148288350439482,0.2035784525946243,0.43678125583647937,0.46925740750955997,0.49706188831337844,0.0,0.465110965372739,0.4465780818636127,0.5625920589014062,0.0,0.41995610022973545,0.43449303918809873,0.4403252096783457,0.41052768974788645,0.3793403441145061,0.3915968239134744,0.44939960516753746,0.0,0.28106068281505264,0.0,0.0,0.0,0.46949984226733515,0.4583657627196218,0.0,0.0,0.0,0.4554270683482332,0.47984291676485147,0.6020414943176379,0.3440339816507992,0.0,0.4658543056709955,0.24568546184357778,0.3781895490415252,0.0,0.4947311584341933,0.0,0.3841101968014461,0.0,0.32657706598784475,0.36250757336934386,0.4753544787454587,0.0,0.5724060004326712,0.24221942358972048,0.3181826678549424,0.49233945793490336,0.47242842212920116,0.45288976082676297,0.500477151689859,0.34340767115965826
10,0.3017997206991726,0.2807763407604301,0.45103581941994186,0.5859342551665152,1.0000000000000016,0.40739610918068075,0.31966468116661034,0.330405629703854,0.3232759632681696,0.6231498983722109,0.551618464096729,0.3708765553020573,0.3916367408104933,0.3810343794641732,0.5441215693655176,0.479904389389332,0.4443313412710937,0.6199106609587299,0.4162392158995817,0.32391163437333753,0.4390898733124594,0.3936755325025813,0.3359182449085092,0.28922017750799994,0.34242023855716675,0.41919061632644006,0.41052226959572885,0.45243368927520106,0.518740191103999,0.4844804107426811,0.5123974881230183,0.481080847824101,0.4646470081586567,0.33449204409719663,0.4207887149834488,0.4838467671946025,0.4133193392599252,0.3570623679633319,0.0,0.3790206630685003,0.3937278905535409,0.3058917118244265,0.0,0.0,0.0,0.48225770985780725,0.0,0.0,0.0,0.4389639998796875,0.0,0.38278404332439425,0.45742006628332316,0.4017670070936453,0.40899084657996543,0.0,0.49233417785174954,0.3553402541131464,0.0,0.0,0.3813927121014184,0.3900170141024438,0.45667065555141206,0.0,0.5148288350439482,0.2035784525946243,0.43678125583647937,0.46925740750955997,0.49706188831337844,0.0,0.465110965372739,0.4465780818636127,0.5625920589014062,0.0,0.41995610022973545,0.43449303918809873,0.4403252096783457,0.41052768974788645,0.3793403441145061,0.3915968239134744,0.44939960516753746,0.0,0.28106068281505264,0.0,0.0,0.0,0.46949984226733515,0.4583657627196218,0.0,0.0,0.0,0.4554270683482332,0.47984291676485147,0.6020414943176379,0.3440339816507992,0.0,0.4658543056709955,0.24568546184357778,0.3781895490415252,0.0,0.4947311584341933,0.0,0.3841101968014461,0.0,0.32657706598784475,0.36250757336934386,0.4753544787454587,0.0,0.5724060004326712,0.24221942358972048,0.3181826678549424,0.49233945793490336,0.47242842212920116,0.45288976082676297,0.500477151689859,0.34340767115965826
