Poster,Mo Abdallah,Riyad S. Aboutaha,Jeongmin Ahn,Ben Akih-Kumgeh,Jackie Anderson,Michael Blatchley,Michelle M. Blum,Ed Bogucz,Jesse Q. Bond,Mary Beth Browning Monroe,Katie Cadwell,Yue Cao,Elizabeth Carter,C.Y. Roger Chen,Ruth Chen,Biao Chen,Andria Costello Staniec,John F. Dannenhoffer III,Gabriel Silva De Oliveira,Alexander Deyhim,Bing Dong,Charles T. Driscoll,Victor Duenas,Sara Eftekharnejad,Ehat Ercanli,Matthew Erdman,Makan Fardad,Zhenyu Gan,Venkata S.S. Gandikota,Natarajan Gautam,Nadeem Ghani,Prasanta K. Ghosh,Jennifer W. Graham,M. Cenk Gursoy,Moamer (Mo) Hasanovic,James (Jay) Henderson,Endadul Hoque,Ian D. Hosein,Can Isik,Era Jain,Pankaj K. Jha,Chris E. Johnson,Alex K. Jones,Andrea Joseph,Garrett Ethan Katz,Bryan S. Kim,Rodrick Kuate Defo,Saman Priyantha Kumarawadu,Lihong Lao,Kasey Laurent,Andrew C. Lee,Tong Lin,Xiyuan Liu,Min Liu,Yizhi Liu,Eric M. Lui,Aoyi Luo,Zhen Ma,Sinéad C. Mac Namara,Duane L. Marcy,Shalabh C. Maroo,Karen Martinez Soto,Joao Paulo Marum,Jean-Daniel Medjo,Kristopher Micinski,Aaron Mohammed,Chilukuri K. Mohan,Young B. Moon,Shikha Nangia,Dawit Negussey,Susan Older,Anupam Pandey,Vir V. Phoha,Peter Plumley,Jason Pollack,Quinn Qiao,Zhao Qin,Qinru Qiu,Younes Ra’di,Farzana Rahman,Dacheng Ren,Utpal Roy,Baris Salman,Ashok S. Sangani,Amit K. Sanyal,Mehmet Sarimurat,Wanliang Shan,Ian M. Shapiro,Andrea Shen,Yilei Shi,Cindy Smith,J. Cole Smith,Pranav Soman,Sucheta Soundarajan,Yiyang Sun,Radhakrishna (Suresh) Sureshkumar,Yuzhe Tang,Svetoslava Todorova,John Trimmer,Pramod K. Varshney,Senem Velipasalar,Joseph J. Waclawski,Theodore Walker,Li Wang,Yeqing Wang,Yaoying Wu,Edmund S. Yu,Pun To (Douglas) Yung,Reza Zafarani,Teng Zeng,Jialiu Zeng,Jianshun “Jensen” Zhang,Teng Zhang,Junzhe Zhang,Yi Zheng,Fernando Zigunov
1,0.36441073092302106,0.521248393091563,0.5474831651334727,0.4060536949766363,0.08440463203684433,0.595345810952542,0.5261352794155614,1.5324217616223146,0.4807115761928419,0.3443788117851254,1.4166308708634605,1.5629623811441204,0.42018854059367217,1.4707462380196104,0.5526194460660708,0.447346658956418,1.492636266684034,0.5108665889002221,0.42629844602952904,0.6099411301211894,1.5272783234982201,1.353145828531249,0.5081554427464464,0.5299409745860573,0.5495030568484147,1.3814901689483616,1.4559035975976808,1.4978508148811187,1.5179070009948976,0.5301967504074965,0.44841634151027543,0.4517906753378932,0.6093630705909269,1.4122410913193408,0.5030757696407349,1.6580998025859972,0.5042918535112181,1.5887531797930399,0.0,0.5419359912503835,0.5893655730939593,0.39057016063309735,0.0,0.0,0.0,0.45950556390435526,0.0,0.0,0.0,0.4094535742861662,0.0,0.4258880241061138,0.5698154856909983,0.3845625107242345,0.5587767693511247,0.0,0.620725626588035,0.5880653228849271,0.0,0.0,0.46625248225890936,0.40375432210679185,0.5400317678224871,0.0,0.5269620686018093,0.34050040842903395,0.4725485517378192,0.6174478479398721,0.5668190152695227,0.0,0.5056634157808318,0.5625139734623875,0.5193309170691586,0.0,0.43028082926538275,0.5379673577212151,0.5522550190793099,0.4865626041633104,0.5853147130574268,0.49343612089546707,0.40933938221235755,0.0,0.41705912764023323,0.0,0.0,0.0,0.5145515957770147,0.3316216065560584,0.0,0.0,0.0,0.4196787819490067,0.5678259642144028,0.46181514693399883,0.5065864666489343,0.0,0.494302055001319,0.34263721752618753,0.39897475368917645,0.0,0.5400148793184151,0.0,0.4420694014307091,0.0,0.5843623699145791,0.48997657997957755,0.5750575245114379,0.0,0.5823070673461416,0.4042952053224949,0.47165640310338824,0.4347979708322086,0.47752288234240814,0.4635640640429988,0.5817652421543708,0.5730788013494755
2,0.4843268728106723,0.6186930140973502,0.6532982772605435,0.5027696303901956,-0.019208470060027853,0.7223198150583036,0.6886921609018588,1.6635561482948655,0.6053511043959534,0.35243011371523086,1.4989152364338145,1.7250916847494409,0.6212003619694066,1.6791008903759952,0.7151138343926878,0.7008430158168695,1.6806314384506558,0.5405358543383797,0.643310027468719,0.7197845876122262,1.7159419054762182,1.5444085630893802,0.6495768771433303,0.7073957812543826,0.771469334246041,1.5615429810206751,1.7022577798365428,1.6411470419831093,1.707157891333698,0.7169476955384435,0.6093698830247244,0.5466276607929269,0.618731358502064,1.6555148453787827,0.6815895754932426,1.695610357547987,0.6880547364424094,1.6793220532288502,0.0,0.681107373484726,0.6765806832658403,0.5423009521898002,0.0,0.0,0.0,0.6641046193416626,0.0,0.0,0.0,0.5705554789864125,0.0,0.5958688870431987,0.6255951899351877,0.6013344832855412,0.7089340295483663,0.0,0.7231595839242008,0.6869891134632763,0.0,0.0,0.6307649062452342,0.595936117093134,0.7222349855764184,0.0,0.7026016051484967,0.519445778854471,0.6878638906900231,0.6729407790100213,0.7004672081458344,0.0,0.6701964909482766,0.637377789523348,0.6861994893844136,0.0,0.5899013506914084,0.6782560554304408,0.6593784464138407,0.7083826477999816,0.721368372268666,0.6428402510721559,0.5701332409779757,0.0,0.6461088801662791,0.0,0.0,0.0,0.6225440303134997,0.5699316575770061,0.0,0.0,0.0,0.703908458467715,0.7361802634855776,0.6439752241641012,0.6456711140860871,0.0,0.7234298691485703,0.5574524500206253,0.6137415273941522,0.0,0.6423949481303562,0.0,0.6448251028023475,0.0,0.7028459243850994,0.6319923666545945,0.7086212546570453,0.0,0.6752522686994832,0.5646823972707457,0.6441573888942943,0.6277410716404801,0.5930128700545475,0.6582375206739988,0.6593440265990506,0.7145542623040179
3,0.39904445801119115,0.46723013981695904,0.5728854278445081,1.389983827543033,0.03395326089373375,1.600945657207099,0.45429503061065246,0.5198749408436651,0.49474784323768484,0.2772616647886268,0.4097242632177446,0.4920533897033791,0.4408171382869744,0.550858894925298,0.514961273202939,0.5275993482985855,0.5184717511461736,1.4588509626634918,0.48279746355174186,0.6230855300040917,0.5823389487262648,0.42075345615798687,0.5108789713484855,0.6251154905715558,0.6265927113584672,0.4369127836544797,0.5425565427891776,0.4114085960787321,0.5631759406506509,1.703973794825039,0.488401181860621,0.46884055080248227,0.4807840901898386,0.5145723405625546,0.49835321978805197,0.5353612239047303,1.603210249612305,0.5421156818698635,0.0,0.5509103399606965,0.582123391462263,0.3829119246611437,0.0,0.0,0.0,0.4841774730047659,0.0,0.0,0.0,0.4167011384542514,0.0,0.48617008408702495,0.654169888226648,0.39064590952084116,0.5478364452673512,0.0,0.5929733774394954,0.6077457110972162,0.0,0.0,0.48541067760759843,0.40169510014004994,0.6328512426870191,0.0,0.6326858592385735,0.38306627271306387,0.6423537521164652,0.6113101843122785,0.5436242542222567,0.0,0.5928929013330921,0.5078959270376004,0.5399342109501554,0.0,0.42578902953032793,0.6056964471038382,0.4627189347637807,0.6134608237926471,0.5450991520655799,0.5944103890131954,0.4541674380085051,0.0,0.5465709672511059,0.0,0.0,0.0,0.4567120861614631,0.4242377564346827,0.0,0.0,0.0,0.5540597546449136,0.538067840858533,0.5043011423501486,0.5124971781701405,0.0,0.5924664597709431,0.3848690817663058,0.5584039808731999,0.0,0.6325672092551765,0.0,0.46331332710466766,0.0,0.5404758228785687,0.4854775709077732,0.6295107959046694,0.0,0.6450438504606006,0.4883193674876447,0.5404066803650812,0.46090979997870574,0.4494493570905113,0.4957143877002926,0.606765156525648,0.5308763134541623
4,0.49782440479459683,0.592895041861637,0.6386112422088392,0.45178821710569905,-0.022237226364223872,0.6157360947577615,0.5705144466160053,1.7021650689055772,0.5772293510395401,0.18718569379159172,1.4478580202285924,1.571726967896251,0.5690694749082241,1.6455915896504654,0.6559489727624672,0.6817706781813414,1.5969815460349355,0.5058295765844826,0.523024592261158,0.654057993719464,1.6265021919278255,1.5440377084604098,0.539581696389613,0.5882833740304042,0.6351028943628485,1.5132919785880996,1.624056164570494,1.5502536801881086,1.6491762593726733,0.6175654092323444,0.5987332898353903,0.5396395175264379,0.6599176763982911,1.6321798100068654,0.6483073235595184,1.6109672992748325,0.665509099840474,1.60592699277063,0.0,0.6117760170514513,0.7049863532217207,0.5054531457568936,0.0,0.0,0.0,0.6061638595514327,0.0,0.0,0.0,0.633374020656659,0.0,0.645452477504284,0.5872171733313492,0.4947091790949972,0.5865680018211546,0.0,0.6694450032914224,0.6267898664977868,0.0,0.0,0.6178362230868235,0.5464611861996121,0.6065683938267677,0.0,0.5789946094333446,0.5089985058767558,0.5832271468248832,0.6217431882841192,0.6476198430822689,0.0,0.7216220468611718,0.6725926595881463,0.6128996359452175,0.0,0.6351743945156779,0.5635280049450299,0.6334063582366768,0.59407057924319,0.6925514162307047,0.6072703660926508,0.5461613381800084,0.0,0.5512974547207807,0.0,0.0,0.0,0.5757242854010142,0.46517792303264266,0.0,0.0,0.0,0.6500236160428259,0.6176491415848464,0.6061584271895177,0.6476368935022857,0.0,0.6532181719617197,0.5281000536094759,0.5566061450627655,0.0,0.5286558853882579,0.0,0.5881339086896078,0.0,0.6793735437927193,0.5911527147993705,0.6006236386849455,0.0,0.5127426648368275,0.5620283791873654,0.5482004608904198,0.5662844766408637,0.6313695363543993,0.6142128507803923,0.6537485791984102,0.6550732206048231
5,0.5057264773970775,0.5780905886318424,1.7135480517504549,0.5374920499938393,-0.009609341796569781,0.7077011975303238,0.6023918267813512,0.6349026693523211,0.6227152704744011,0.38511364598790215,0.5281152437185811,0.6403924825757616,1.542579390743547,0.6507642927167319,1.7177422882962006,1.56636410874823,0.6648427179327265,0.5122687149589714,1.5487942344002479,0.6024966773356631,0.6296756733935015,0.5381782474825924,1.5853969905689325,1.6410280379278426,0.6666865152712141,0.5881192260888894,0.5910327740715557,0.5995295956466306,0.6614740349880487,0.7146958845935389,1.5743290804341683,0.6045089297938308,0.6885408070598424,0.5895737789578525,0.6088595634645916,0.7092852717607598,0.6246135913285153,0.675694013587875,0.0,1.7223099342816572,0.677558906992702,0.521260651772645,0.0,0.0,0.0,0.5794853231641801,0.0,0.0,0.0,0.5789875681711397,0.0,0.590675647268778,0.7268315114256706,0.5383178186422223,0.585934306966699,0.0,0.7208379037206352,0.6703440723418894,0.0,0.0,0.6338021619039048,0.5639627336837901,0.6647767943446785,0.0,0.6685371631390291,0.4774936052472534,0.6281543262783962,0.7732673601660821,0.6768216013119138,0.0,0.5656948382677249,0.6192097049882332,0.5925021487597357,0.0,0.5385875139445145,0.677869553253933,0.6328188766784111,0.6384042539489031,0.7020252080395997,0.5996328904426378,0.5819841374740397,0.0,0.5295861936690349,0.0,0.0,0.0,0.5996244346268131,0.474196065625966,0.0,0.0,0.0,0.562075106675044,0.6370736322526773,0.6216454884167224,0.6720683544504765,0.0,0.5873847465311359,0.5339316856322077,0.5900687828201562,0.0,0.6437573578465653,0.0,0.6273694463081351,0.0,0.6056443414191158,0.7021314869605807,0.7387044306501235,0.0,0.6831968554138391,0.5388648917286495,0.6686101238269736,0.6110257139996816,0.5759906914069411,0.6019142754955602,0.7409076276402942,0.6805905559979898
6,1.4579621084682146,1.5723249755340425,0.6932037788710004,0.55641216556721,-0.07713622134498903,0.6984942795036174,1.5738601055981316,0.6082110105997421,1.6403592801229154,1.3333351331569832,0.5534307491198629,0.5527404126368745,0.48196608336396884,0.5832936855053186,0.6513698895711186,0.51265782942516,0.6311000734773897,0.473708283263098,0.514546003926166,1.6108690758427224,0.5686726887457612,0.5097690128401955,0.6166639198197733,0.5674290010056933,1.6102841419504137,0.5027616610884998,0.542912775207484,0.4970876898606289,0.5830963345507806,0.6144369244195035,0.4874824296831952,1.5493593527538403,1.591404582191512,0.526021255721004,1.627370854752288,0.66193655203661,0.5449532705715765,0.6179667052116234,0.0,0.7035413153221718,0.6569817358161424,0.45809041899624775,0.0,0.0,0.0,0.5192800304127217,0.0,0.0,0.0,0.5595104023295696,0.0,0.49523863076645813,0.693603464637191,0.46062853727619935,0.5758901895733677,0.0,0.6761607903039293,0.6673971898748465,0.0,0.0,0.5899170387012627,0.5095446692529846,0.5617789566573288,0.0,0.6102035399366594,0.3870594651755342,0.6016399791886916,0.642216090282261,0.5809961348700069,0.0,0.5268819419387641,0.5652258696064772,0.5453536641414332,0.0,0.48133825248806694,0.6671820909762716,0.6609623487654384,0.5805657366037029,0.6116244417655201,0.5676068571150218,0.5317542421961295,0.0,0.4877669251496581,0.0,0.0,0.0,0.6113962011461421,0.432626528807606,0.0,0.0,0.0,0.49355089550770104,0.5824246230697558,0.5461591383821178,0.5773013951334941,0.0,0.5720620516118399,0.4640017541802412,0.5552457060326875,0.0,0.5892412044281593,0.0,0.5804297964886301,0.0,0.5994364482371878,0.6320515635660837,0.6859404701343202,0.0,0.6960833789168823,0.517837272177355,0.5664700376169841,0.4930170513979164,0.591692681541688,0.5274016566983695,0.6561178539586836,0.6383968886886028
7,0.6430660446074242,0.6822312529906346,0.753201209950456,1.5015070720345725,-0.18797635865199916,1.674926179394244,0.6077030017874643,0.7278151280854582,0.6417050695049089,0.20840698128729984,0.4783439801067278,0.6043518449989724,0.5358732625235416,0.7264189359022867,0.633321358401194,0.6232056014174733,0.7257415765637222,1.3346023401712974,0.5817282629266478,0.6045744744952508,0.6301793900471478,0.5683685553643015,0.569453924145204,0.6122122557160108,0.6267026923556325,0.6439720518708968,0.6168214369564687,0.6512034914334215,0.7187035086465227,1.6501706952768471,0.7335174717201097,0.7784088884257685,0.5536243788782185,0.650200135313746,0.6271607066327647,0.6773030875749061,1.6202555510488499,0.7274719574816372,0.0,0.7117803007111908,0.7782310015777503,0.5497850423536046,0.0,0.0,0.0,0.6913169217533924,0.0,0.0,0.0,0.6498492634773961,0.0,0.6594842513911418,0.7658874737200938,0.5661544516184301,0.5770297585220742,0.0,0.7600252653864917,0.6272212772601686,0.0,0.0,0.7367054031245447,0.5286650119164198,0.6254515256289167,0.0,0.669276500076986,0.5032873265810294,0.6633086988340519,0.6727949682586549,0.6421896248363325,0.0,0.5763046012336893,0.6543036114476264,0.6258906628891682,0.0,0.6033964228658708,0.7701306246240158,0.719440796103081,0.6912107540948098,0.7085741597899075,0.6282211080132302,0.7092293040009,0.0,0.4795683269627081,0.0,0.0,0.0,0.7374713041812079,0.5051017564238048,0.0,0.0,0.0,0.6205153691641762,0.6352344591525746,0.5829635689475126,0.7365587124298186,0.0,0.6313140044139792,0.6092393880015077,0.6349145617674733,0.0,0.6583327942135243,0.0,0.700219471684893,0.0,0.6040563134051781,0.7340623169193384,0.7039887809097491,0.0,0.580027034920541,0.6200493760741369,0.6547503030168036,0.5860356412634957,0.7406225766324825,0.6265572095813687,0.7292622344866949,0.6720253237090494
8,0.4227825576035772,0.5646720441664075,1.599261793725534,0.4596873479821776,-0.01729074877077013,0.6611143046167423,0.5631784044177834,0.5232201399732189,0.5302862290877878,0.256635644182916,0.4713783597823705,0.5970399986709938,1.5513101088653316,0.5471468405615825,1.6589354414815256,1.4861532778039963,0.537473915506771,0.572171124633717,1.5862809714639767,0.6930209086555865,0.616260074999695,0.41053764783213104,1.4521731823601574,1.5548834845926889,0.6810757987550957,0.4611003104828425,0.4764233955547898,0.49962893478533493,0.5512628881456063,0.5795596873147354,1.477257890368774,0.3850846045506405,0.5695688541368683,0.40939517175733153,0.6198523167640185,0.6464105970886339,0.5892252514265789,0.6567936571176057,0.0,1.5914556076438444,0.5054525371023094,0.4958936674400279,0.0,0.0,0.0,0.6221041787391466,0.0,0.0,0.0,0.4297361720888469,0.0,0.4842515818903006,0.5324295786743858,0.4994860677326147,0.6283168406650386,0.0,0.7082519950134801,0.6879570857673656,0.0,0.0,0.5521825774120106,0.5402302848492637,0.5915277757976838,0.0,0.5398071088373961,0.46969250333361257,0.567006534985181,0.6086666863065948,0.6591030297820436,0.0,0.5743367691836475,0.5399595129516295,0.6008044997252021,0.0,0.5426244416756407,0.5244613546229955,0.5989427561242122,0.5226157691747372,0.5643421992201306,0.4894687223287611,0.4936385359633138,0.0,0.582557399763252,0.0,0.0,0.0,0.5284710253840257,0.40596257781158473,0.0,0.0,0.0,0.6061813844868218,0.667156201296962,0.5024703960740323,0.5544521782588405,0.0,0.6117347070596343,0.39203597443288724,0.4721983251526035,0.0,0.5626441670438654,0.0,0.5769715535149451,0.0,0.6780691347611458,0.5127583501316775,0.5482813292041975,0.0,0.6065256882723966,0.4653716177944714,0.541622999424707,0.5444808875705784,0.49840346901392346,0.5528180031315976,0.6293747793703387,0.6161355537838109
9,-0.3068113632035982,-0.22297593053851175,-0.21588492890535577,-0.23974137403864595,1.0000000000000013,-0.24299720821701334,-0.23407550992269502,-0.16104932824416898,-0.28499395440116365,0.31927693966587495,-0.21216030986713083,-0.2597614316699967,-0.2805214528382529,-0.21038125933902319,-0.15797798150199444,-0.2138894968525911,-0.2859596624823508,0.15070863022481593,-0.3085529810925878,-0.10252988354922724,-0.25945922661726595,-0.23632926515960853,-0.190454261362959,-0.0813597578493068,-0.1818449986578208,-0.34906695660441384,-0.17566499354091428,-0.2590380193759896,-0.21789731934368453,-0.16924244325189963,-0.18134822599826775,-0.2087598022868451,-0.03342804647715629,-0.29097065544316614,-0.271507008042576,-0.16178307561203553,-0.29975459666543164,-0.21810588236967512,0.0,-0.2276556765176369,-0.17576751155911785,-0.24115740885046436,0.0,0.0,0.0,-0.28088019435162176,0.0,0.0,0.0,-0.27571418838765704,0.0,-0.27585672376011827,-0.19801965508306954,-0.3017147850273724,-0.2823916031819036,0.0,-0.23617820395262948,-0.19565931378851273,0.0,0.0,-0.30640207259177654,-0.23394957904491,-0.1874584398874892,0.0,-0.23665659622978122,-0.23082255168487548,-0.2715483973107986,-0.12646595576076672,-0.1693148111488843,0.0,-0.030841327497668315,-0.15801928448691985,-0.30248763696414416,0.0,-0.2865337848147508,-0.2488258406755636,-0.3215787855827113,-0.1485904227926089,-0.16692595917103922,-0.28777956786581793,-0.3860569780401072,0.0,-0.08700960824404395,0.0,0.0,0.0,-0.30241535220782256,-0.13989209943498884,0.0,0.0,0.0,-0.21081399499080586,-0.1969526489774676,-0.23056181912216855,-0.26763887736140946,0.0,-0.23906779273922313,-0.23535475273038817,-0.19117955713517723,0.0,-0.2045993346428614,0.0,-0.3232602053579307,0.0,-0.19321014125741284,-0.33393573461572346,-0.24797659047293621,0.0,-0.28466995473592804,-0.2536174064243683,-0.2325577997441407,-0.23666784412501407,-0.2987793259082898,-0.2628015915154848,-0.2206581550406845,-0.2351953839650163
10,-0.3068113632035982,-0.22297593053851175,-0.21588492890535577,-0.23974137403864595,1.0000000000000013,-0.24299720821701334,-0.23407550992269502,-0.16104932824416898,-0.28499395440116365,0.31927693966587495,-0.21216030986713083,-0.2597614316699967,-0.2805214528382529,-0.21038125933902319,-0.15797798150199444,-0.2138894968525911,-0.2859596624823508,0.15070863022481593,-0.3085529810925878,-0.10252988354922724,-0.25945922661726595,-0.23632926515960853,-0.190454261362959,-0.0813597578493068,-0.1818449986578208,-0.34906695660441384,-0.17566499354091428,-0.2590380193759896,-0.21789731934368453,-0.16924244325189963,-0.18134822599826775,-0.2087598022868451,-0.03342804647715629,-0.29097065544316614,-0.271507008042576,-0.16178307561203553,-0.29975459666543164,-0.21810588236967512,0.0,-0.2276556765176369,-0.17576751155911785,-0.24115740885046436,0.0,0.0,0.0,-0.28088019435162176,0.0,0.0,0.0,-0.27571418838765704,0.0,-0.27585672376011827,-0.19801965508306954,-0.3017147850273724,-0.2823916031819036,0.0,-0.23617820395262948,-0.19565931378851273,0.0,0.0,-0.30640207259177654,-0.23394957904491,-0.1874584398874892,0.0,-0.23665659622978122,-0.23082255168487548,-0.2715483973107986,-0.12646595576076672,-0.1693148111488843,0.0,-0.030841327497668315,-0.15801928448691985,-0.30248763696414416,0.0,-0.2865337848147508,-0.2488258406755636,-0.3215787855827113,-0.1485904227926089,-0.16692595917103922,-0.28777956786581793,-0.3860569780401072,0.0,-0.08700960824404395,0.0,0.0,0.0,-0.30241535220782256,-0.13989209943498884,0.0,0.0,0.0,-0.21081399499080586,-0.1969526489774676,-0.23056181912216855,-0.26763887736140946,0.0,-0.23906779273922313,-0.23535475273038817,-0.19117955713517723,0.0,-0.2045993346428614,0.0,-0.3232602053579307,0.0,-0.19321014125741284,-0.33393573461572346,-0.24797659047293621,0.0,-0.28466995473592804,-0.2536174064243683,-0.2325577997441407,-0.23666784412501407,-0.2987793259082898,-0.2628015915154848,-0.2206581550406845,-0.2351953839650163
