Poster,Mo Abdallah,Riyad S. Aboutaha,Jeongmin Ahn,Ben Akih-Kumgeh,Jackie Anderson,Michael Blatchley,Michelle M. Blum,Ed Bogucz,Jesse Q. Bond,Mary Beth Browning Monroe,Katie Cadwell,Yue Cao,Elizabeth Carter,C.Y. Roger Chen,Ruth Chen,Biao Chen,Andria Costello Staniec,John F. Dannenhoffer III,Gabriel Silva De Oliveira,Alexander Deyhim,Bing Dong,Charles T. Driscoll,Victor Duenas,Sara Eftekharnejad,Ehat Ercanli,Matthew Erdman,Makan Fardad,Zhenyu Gan,Venkata S.S. Gandikota,Natarajan Gautam,Nadeem Ghani,Prasanta K. Ghosh,Jennifer W. Graham,M. Cenk Gursoy,Moamer (Mo) Hasanovic,James (Jay) Henderson,Endadul Hoque,Ian D. Hosein,Can Isik,Era Jain,Pankaj K. Jha,Chris E. Johnson,Alex K. Jones,Andrea Joseph,Garrett Ethan Katz,Bryan S. Kim,Rodrick Kuate Defo,Saman Priyantha Kumarawadu,Lihong Lao,Kasey Laurent,Andrew C. Lee,Tong Lin,Xiyuan Liu,Min Liu,Yizhi Liu,Eric M. Lui,Aoyi Luo,Zhen Ma,Sinéad C. Mac Namara,Duane L. Marcy,Shalabh C. Maroo,Karen Martinez Soto,Joao Paulo Marum,Jean-Daniel Medjo,Kristopher Micinski,Aaron Mohammed,Chilukuri K. Mohan,Young B. Moon,Shikha Nangia,Dawit Negussey,Susan Older,Anupam Pandey,Vir V. Phoha,Peter Plumley,Jason Pollack,Quinn Qiao,Zhao Qin,Qinru Qiu,Younes Ra’di,Farzana Rahman,Dacheng Ren,Utpal Roy,Baris Salman,Ashok S. Sangani,Amit K. Sanyal,Mehmet Sarimurat,Wanliang Shan,Ian M. Shapiro,Andrea Shen,Yilei Shi,Cindy Smith,J. Cole Smith,Pranav Soman,Sucheta Soundarajan,Yiyang Sun,Radhakrishna (Suresh) Sureshkumar,Yuzhe Tang,Svetoslava Todorova,John Trimmer,Pramod K. Varshney,Senem Velipasalar,Joseph J. Waclawski,Theodore Walker,Li Wang,Yeqing Wang,Yaoying Wu,Edmund S. Yu,Pun To (Douglas) Yung,Reza Zafarani,Teng Zeng,Jialiu Zeng,Jianshun “Jensen” Zhang,Teng Zhang,Junzhe Zhang,Yi Zheng,Fernando Zigunov
1,0.6043356706654397,0.6336689219813413,0.7324608481340363,0.6197577183380704,0.7347804568778749,0.749263242667214,0.7407600771348125,0.6430579972365159,0.6684668303904503,0.7531588087779676,0.6448746730374033,0.6124524479029197,0.6368534464119228,0.5822711836382379,0.7020718985434723,0.6371751931317785,0.6150080518597025,0.6312523393130991,0.5310774315520056,0.727682049554056,0.6210307920630961,0.6385037956546282,0.6568849363169007,0.5680358661320134,0.6017148826539502,0.6742215431037909,0.5591892958146164,0.7101051482640582,0.5779493672253175,0.5972675173190635,0.6436696618120782,0.6239507338100575,0.6877955700037024,0.6040587749568637,0.6245861518666584,0.8029316734264897,0.60027813702119,0.7375587273611116,0.0,0.7370301312283679,0.7218015433361208,0.6473044778537334,0.0,0.0,0.0,0.6227933774884885,0.0,0.0,0.0,0.6479583847754281,0.0,0.6227173990927404,0.859911759386362,0.623521661882386,0.6961402373765301,0.0,0.8057012706345971,0.7290834684441921,0.0,0.0,0.7825791063372975,0.5527533984724283,0.5834756495934608,0.0,0.5262517822718098,0.6625565985717764,0.633130446408672,0.6474463234028892,0.7092017642794903,0.0,0.5579969787405334,0.7644264272914542,0.6116281903706932,0.0,0.6365105113368119,0.7598390608978461,0.7643757525894433,0.6676477622308566,0.7296187670482153,0.6374130221635296,0.6776187441376037,0.0,0.6051014705877941,0.0,0.0,0.0,0.7940762894134346,0.5879266873062018,0.0,0.0,0.0,0.5412450576995992,0.8135510922005459,0.5490698491294452,0.5988338904501774,0.0,0.5964166609719281,0.6647842949326098,0.6564572175962328,0.0,0.6444246477351552,0.0,0.6933610190751862,0.0,0.6623353654359426,0.7355874442630371,0.5940184725669515,0.0,0.5613865737202962,0.647034485361668,0.6812593126970962,0.6456868846241958,0.8409880332642492,0.5864168304056029,0.7694499351126527,0.6430418438022005
2,0.5932433608575033,0.604111681652989,0.7261730194807207,0.7052211369407212,0.8041653674361032,0.6624796094728475,0.6363363761391663,0.6594221391779356,0.6815352538982501,0.7203393919511787,0.6680564441750744,0.6764467550193958,0.6621668296659988,0.6339982194130872,0.653060239837373,0.7329114675193946,0.6918706487723586,0.7031564924280441,0.6201894077263052,0.7016493536643729,0.7654405709400226,0.6585953410201126,0.6219173397519525,0.6337542370141553,0.707650106764987,0.6921316022556281,0.6890061664361311,0.6453284090594296,0.7485113425618458,0.7314732374319822,0.6901777882527909,0.6578417894875408,0.6512503950475589,0.6951552553637181,0.6464142203503767,0.7073192683521203,0.6708513002211048,0.7479795799758857,0.0,0.6639238763255838,0.7668317383905737,0.6561450090202738,0.0,0.0,0.0,0.7043053319284006,0.0,0.0,0.0,0.7060332320897867,0.0,0.6745773105369385,0.7211258398639043,0.6536382380532368,0.705348458143688,0.0,0.699083227244387,0.6551827537071185,0.0,0.0,0.7124476098863121,0.6418072004103521,0.7266989434092483,0.0,0.6808445663883246,0.6533715840809954,0.693938962748814,0.7332919955732979,0.7373641236681467,0.0,0.6481834659196611,0.6804491793031956,0.6830581864031061,0.0,0.7188344932153391,0.7575061695130156,0.731001468778149,0.7475272336108775,0.7251394083166136,0.6851237507928692,0.6608947554890688,0.0,0.6526505874223852,0.0,0.0,0.0,0.7494587151722547,0.6271261942874163,0.0,0.0,0.0,0.6572775709066515,0.7206641685474362,0.6480253841078727,0.6086154282206271,0.0,0.7186767283813278,0.7096529154977018,0.6922087199531888,0.0,0.7217808834035152,0.0,0.6967727145182163,0.0,0.6616045712205683,0.6592660847201388,0.715759326422304,0.0,0.6279726653771881,0.6533781702592085,0.6846755745892442,0.7196803977519899,0.6987419025864534,0.6318134744730338,0.7142475687748326,0.6997660145717358
3,0.6752479102885771,0.5791186405839647,0.6929689474238175,0.6981926230968789,0.783304525822122,0.6106942503577815,0.5554568195760776,0.6521644426765526,0.6834547546635484,0.6874934065519941,0.6532054279632598,0.6248659648993421,0.6918837161411748,0.6238639973281825,0.651666963696082,0.7189200575838615,0.6696556890993689,0.6661115152730142,0.6092105084672262,0.6617447741427644,0.7723445277652556,0.7115908474498951,0.5754301648026692,0.6236223548373141,0.6752528995601271,0.7146996773957776,0.6545139335387594,0.579389084004397,0.7094609192881164,0.6958307687240632,0.6449176447762167,0.6375437594856649,0.6525225628483771,0.6770268108332359,0.6533043252663705,0.6319239905534517,0.7435517909955235,0.7198151277072194,0.0,0.6337135250665213,0.6908624189563318,0.6823618089191701,0.0,0.0,0.0,0.6483827792401803,0.0,0.0,0.0,0.6296429112653537,0.0,0.6667214682131325,0.6435879202283886,0.695364300854636,0.6633525222271331,0.0,0.6188037969379254,0.6348990029467665,0.0,0.0,0.6802543669435842,0.6053452332831228,0.6712136137567906,0.0,0.6922716495880219,0.6750787088031553,0.7334668048699207,0.7318570841996157,0.6956037211770748,0.0,0.6712334767768506,0.565704208939171,0.7186267485540019,0.0,0.6777702766634897,0.7151608284789576,0.6203895558410799,0.6748978859124445,0.6450571190797669,0.7912519117067814,0.6604960136662916,0.0,0.6946317688575637,0.0,0.0,0.0,0.6508845915650904,0.6484288558671389,0.0,0.0,0.0,0.6611099662292718,0.6241952375815911,0.6450966081426618,0.5613163943789022,0.0,0.7454757335119638,0.7533268470153014,0.7501824771897391,0.0,0.7176706375581662,0.0,0.6720921953558742,0.0,0.6247668658503256,0.6353506469806354,0.7351488723584321,0.0,0.6265410883202626,0.7081766401440471,0.696698577150859,0.7240990385895777,0.6065328510709143,0.6680614832445884,0.6982486578908464,0.6254249643536061
4,0.6040461199981787,0.5958115186263359,0.659670574767824,0.6674497367543377,0.7731439004711559,0.6244858782424401,0.591960064567217,0.6777371982604109,0.6422276050290109,0.7177077931444573,0.6587709364465757,0.5850072785085527,0.6054826593268526,0.6409889039445399,0.6538435699847749,0.7287143238754014,0.6294266603536514,0.6410900078673396,0.5735719164574246,0.6456745255917103,0.6252879770268157,0.6544660707644083,0.5990439997977057,0.5992374600824849,0.6307705442035288,0.6468917101826964,0.7124129572796996,0.6125883180424224,0.7389441000544282,0.6460050059892731,0.6486950348798314,0.6364911226766811,0.6853296642146167,0.6887525585827868,0.808063881103748,0.6498807668053359,0.6922828553792708,0.69968099830657,0.0,0.6469529078654576,0.83636264413572,0.6587687749159523,0.0,0.0,0.0,0.6689781377590862,0.0,0.0,0.0,0.6823293783675345,0.0,0.6612144702266812,0.624639895607561,0.6030224224405554,0.6011535522874071,0.0,0.6324342576457943,0.6383535351974374,0.0,0.0,0.6982095818139755,0.5989484547827094,0.5947590102114828,0.0,0.6174920342523919,0.6722246924918305,0.5886890833966646,0.6389539680656446,0.7806096396292084,0.0,0.7097938836764263,0.6885709956391471,0.5952175592142478,0.0,0.8537595690625974,0.64771905911358,0.7270244606689245,0.6760363480621402,0.7069082262097593,0.6713814176439509,0.6307731212414256,0.0,0.608745898013284,0.0,0.0,0.0,0.6815624012806465,0.6740933935940782,0.0,0.0,0.0,0.6561594250869754,0.65898499532899,0.6684522835637249,0.641203185533737,0.0,0.6967202355461364,0.6740401974977349,0.6621167885588372,0.0,0.5677421798434688,0.0,0.6670081965272647,0.0,0.600114364870051,0.6565053282541474,0.6018899854411053,0.0,0.6135212956056295,0.6672003356858979,0.5919468878876952,0.6367599571063506,0.6838284687076976,0.6091575335755651,0.6884729013409484,0.6260815242804999
5,0.671667714535313,0.634800322684741,0.7528401714338423,0.6783618272704622,0.7363391638835242,0.8225046013035355,0.7476344567202308,0.6665256911572855,0.6985845048595756,0.8184843903997269,0.6937737728231161,0.5799318553563281,0.6248742513349222,0.6219633201850446,0.8293749056702597,0.6453102494542049,0.6317470883245558,0.7022280138597133,0.5489650909224574,0.7040161765527491,0.6712906442455797,0.6882501313668989,0.6986241211365971,0.6215832773678809,0.638486774102163,0.7430655300327285,0.6420447261108602,0.6689608993121893,0.6184150523551635,0.6689912625771101,0.6584298331333732,0.6418422705821362,0.7184915175983587,0.6866380800424924,0.6496225747115649,0.8301532326242902,0.5957910533186666,0.7690873685785753,0.0,0.8476697820852891,0.7418897255158108,0.6461626226845788,0.0,0.0,0.0,0.6236900420652124,0.0,0.0,0.0,0.6780951347046903,0.0,0.7083239523045121,0.8213672298556539,0.641234995217968,0.6593834279036298,0.0,0.762024635011703,0.7992084326894309,0.0,0.0,0.7999174885964689,0.5920401316915219,0.5979128281781065,0.0,0.5849131584497077,0.6692547932753614,0.6812732244754605,0.6711076042776929,0.8042131452926375,0.0,0.5789645092652802,0.7284459514592242,0.596005943485153,0.0,0.6447220687270514,0.7970348507448017,0.7430352147197724,0.7044106407374024,0.7364057963252342,0.6815928696077607,0.7442224138517495,0.0,0.6427163206450417,0.0,0.0,0.0,0.7672839536409676,0.6320546197302469,0.0,0.0,0.0,0.6088078432298312,0.8127044736896016,0.5633322117974253,0.6494374348360018,0.0,0.6700121032264056,0.719440232585395,0.7280524258286236,0.0,0.6251828792595227,0.0,0.7376262627192146,0.0,0.7058782805295559,0.8224151420023691,0.6388034149627279,0.0,0.6107733846059262,0.7022701687069921,0.8417000484027941,0.7213174627730873,0.8161230234157276,0.619613379104546,0.8065698961268433,0.6715046203079603
6,0.5936611857519575,0.6359087830331841,0.7707407936537548,0.6871410035643537,0.7388315782963765,0.7828494698153492,0.7360466360227254,0.6445624405855453,0.7497349562187513,0.7817598782258,0.7027456022016665,0.5873726817115766,0.6207792549662129,0.6223043497482603,0.7605681103513758,0.6224018100110689,0.6315144949564752,0.6813325779827049,0.5345700984565428,0.7175783055240875,0.6447849756240724,0.69084989770547,0.6883284700374402,0.6286509518873449,0.6297060656670416,0.6692773669575816,0.6465570080880398,0.707592599136003,0.5810086335539225,0.6373284892445764,0.6689113402998712,0.6367859059277959,0.7043884199668389,0.6591555226754677,0.673048852453131,0.8269897405138027,0.5774089584624724,0.767899842086393,0.0,0.7665725951214063,0.7331575868997919,0.6768755880776218,0.0,0.0,0.0,0.6413441367074999,0.0,0.0,0.0,0.7003738313452716,0.0,0.6888759343927177,0.7998326588031425,0.6452343120404178,0.6542739663385617,0.0,0.8148043027480286,0.7625101467592336,0.0,0.0,0.839389689303699,0.5972481269617611,0.5762796515253549,0.0,0.5942161825579164,0.6796048052365045,0.6387477611615122,0.6620570133392477,0.7392555528126901,0.0,0.5569032219947964,0.7671893531704733,0.5601207778668753,0.0,0.6482912170277296,0.8162388880959065,0.8423550526548361,0.6973290870445982,0.7506099097147567,0.6188310778569198,0.671076577507036,0.0,0.6347940973010985,0.0,0.0,0.0,0.7888407893772982,0.63642868876233,0.0,0.0,0.0,0.6124882214900825,0.8061912961320222,0.6052407602382532,0.6077064186435659,0.0,0.6478303192637274,0.684575461945859,0.7146290431845079,0.0,0.6011040167471344,0.0,0.7803711229238199,0.0,0.6975198373114091,0.787166542305281,0.609206068715929,0.0,0.5907655216890245,0.6737991735839586,0.7273525031492737,0.7389689981388092,0.850129582572604,0.6150320648482351,0.7434590214051048,0.6465109583812624
7,0.645369652284821,0.6382623575216275,0.7487826006033923,0.7006643605815636,0.7683898909589733,0.7006451931016152,0.6948312953010294,0.6805938594002663,0.7181196770839473,0.7744033655679343,0.6954498287187351,0.5782541749494433,0.6369322863780826,0.6797370327688718,0.7063310699384012,0.6311651454293749,0.6906403855408492,0.6926277658539175,0.6214580041358841,0.7120135269359595,0.6918650899166555,0.730148091767101,0.6251446895020948,0.6353783165748519,0.6716484417893538,0.6957278131014967,0.6197656901613027,0.6290773043688611,0.6374926148386387,0.6702243390723026,0.7656486775748447,0.6451669635320714,0.7312879004983017,0.6411174693743118,0.6904798604087033,0.714397986947284,0.5800182617573729,0.8388659680474496,0.0,0.719608426545672,0.7812518658907059,0.6964186640017718,0.0,0.0,0.0,0.710918012788859,0.0,0.0,0.0,0.6855101485731695,0.0,0.7035857283105001,0.7015394458008837,0.6440690143739862,0.6534294103250468,0.0,0.7247042097941705,0.6884105645325235,0.0,0.0,0.7892231138067746,0.6086851038106706,0.6150424860789455,0.0,0.6371916857756621,0.6968134841268272,0.6590029593886984,0.6456460142310196,0.7631209298936166,0.0,0.6490939816090625,0.7116242567673334,0.5828880335072196,0.0,0.6667907247172753,0.8546078809558237,0.730747178492723,0.7199198885773556,0.7913794266620465,0.6098900937430289,0.6924632831373917,0.0,0.6571974277472614,0.0,0.0,0.0,0.7205169979930276,0.6543230868862455,0.0,0.0,0.0,0.6406643553711628,0.7344569328503129,0.5642411462275728,0.6137194641563382,0.0,0.6629813414294474,0.7187921228134477,0.7201157837223063,0.0,0.5974937158420599,0.0,0.7566944492148299,0.0,0.7358046419263096,0.7181255892040436,0.6405873477808063,0.0,0.575720076289271,0.7272060016351007,0.7545148023205464,0.7523996972238667,0.7316201464326362,0.6498814349218704,0.7217713959849833,0.6455756660806995
8,0.5909560097538362,0.6149070072099505,0.673458197193847,0.7534503746696793,0.7608227245048267,0.6180943259426487,0.6289106980892197,0.6091133426363469,0.7072593500916048,0.648299466818288,0.7039050993837719,0.717783011724824,0.6601701343254207,0.7212231440879302,0.6174475674967704,0.6471077366144241,0.6883727757909421,0.7280520887672384,0.6591256282815906,0.7375420030299814,0.7161546963136494,0.6327995898519239,0.6197718976591234,0.6262491930865933,0.7194237867946339,0.6801229766922833,0.647215134636203,0.6151677569655563,0.6794007365674822,0.7585065721534787,0.5656662004801841,0.6147547605910063,0.5717879442021502,0.6512248455468033,0.5692860093892529,0.6486415079675929,0.6138151289727869,0.6587991410556697,0.0,0.6361965094713312,0.594758820085763,0.6738190964395703,0.0,0.0,0.0,0.6674166910436387,0.0,0.0,0.0,0.6302556497558515,0.0,0.6660404609494238,0.6311572248834325,0.7734883116146173,0.6841937966018535,0.0,0.6802696145065292,0.6108496115638962,0.0,0.0,0.6696418408856714,0.7086641204028362,0.6169169091577964,0.0,0.5931045294952038,0.6327922841486119,0.6882612052466636,0.8236116281495806,0.639726165180369,0.0,0.600222771017598,0.604207740915811,0.6717809039103878,0.0,0.5942694618170712,0.6030725950596957,0.6679048122381193,0.7069528066076568,0.5581944948320331,0.6158454602712508,0.6474314269982857,0.0,0.7184537265269875,0.0,0.0,0.0,0.695664595504724,0.5580219230928244,0.0,0.0,0.0,0.7569223389548804,0.6375830485078593,0.6731181147023001,0.6092422651583603,0.0,0.6280531431684666,0.633622845813577,0.6180251164195422,0.0,0.6455253429931996,0.0,0.7140713599718201,0.0,0.6591947481532846,0.617159496217958,0.700204913379697,0.0,0.6020857764546969,0.645512074416505,0.5881057123716883,0.6894861356752433,0.6227333307517545,0.6317191428498596,0.6676904787547838,0.7062931180444714
9,0.7399547845475061,0.7429123192466894,0.781188317912972,0.8363267486711691,1.0000000000000004,0.7321573169375437,0.7393085798549281,0.7860234743265262,0.7686951413345605,0.8473997537787377,0.808015468522872,0.7834829738809737,0.7535683156422072,0.7622153753532754,0.764014354957878,0.7396713726204872,0.8003504048765838,0.7920928990181078,0.7862305981847555,0.7867706997352473,0.7789270651870328,0.7435699306735613,0.7202179589467897,0.7143774672446623,0.7797373632152585,0.7906934443054162,0.7673403260607007,0.7555017517391714,0.7788420348077245,0.7865033641049379,0.7298831128454887,0.770638579132341,0.7460968501485323,0.7754969037500937,0.7465262989304331,0.7674614069065807,0.7552232609301569,0.7968417955782862,0.0,0.7684281606775355,0.7593705801374897,0.7765148027890153,0.0,0.0,0.0,0.7457741129712926,0.0,0.0,0.0,0.8053675368050467,0.0,0.792306408455086,0.7175466022443298,0.7921410417313636,0.7546373432748879,0.0,0.7716083586004385,0.7521943807486068,0.0,0.0,0.7789543751429177,0.7866519899723986,0.7583615134020574,0.0,0.7794701303757195,0.7569955492590321,0.7820155048166072,0.8250104627405935,0.8126289377479436,0.0,0.7839752255359369,0.7688641821099153,0.7749642320992217,0.0,0.7933226054349707,0.7435447135428206,0.796841168206734,0.7623706904995217,0.7343069626088828,0.7642634487339905,0.7609267347418506,0.0,0.7726189460836298,0.0,0.0,0.0,0.7995737453905827,0.781818845306459,0.0,0.0,0.0,0.7948160645031919,0.7362565635683835,0.7795235356240505,0.7535951668508312,0.0,0.7464405471677698,0.7513006786784776,0.7563743570868882,0.0,0.737762114300227,0.0,0.7776178760441739,0.0,0.7411559291922941,0.7298124731835042,0.8139017414767697,0.0,0.775076967523963,0.7269731904149737,0.730524499630952,0.7741786908752631,0.7508348379437153,0.7891782299771726,0.7968482675437906,0.7894395142783277
10,0.7399547845475061,0.7429123192466894,0.781188317912972,0.8363267486711691,1.0000000000000004,0.7321573169375437,0.7393085798549281,0.7860234743265262,0.7686951413345605,0.8473997537787377,0.808015468522872,0.7834829738809737,0.7535683156422072,0.7622153753532754,0.764014354957878,0.7396713726204872,0.8003504048765838,0.7920928990181078,0.7862305981847555,0.7867706997352473,0.7789270651870328,0.7435699306735613,0.7202179589467897,0.7143774672446623,0.7797373632152585,0.7906934443054162,0.7673403260607007,0.7555017517391714,0.7788420348077245,0.7865033641049379,0.7298831128454887,0.770638579132341,0.7460968501485323,0.7754969037500937,0.7465262989304331,0.7674614069065807,0.7552232609301569,0.7968417955782862,0.0,0.7684281606775355,0.7593705801374897,0.7765148027890153,0.0,0.0,0.0,0.7457741129712926,0.0,0.0,0.0,0.8053675368050467,0.0,0.792306408455086,0.7175466022443298,0.7921410417313636,0.7546373432748879,0.0,0.7716083586004385,0.7521943807486068,0.0,0.0,0.7789543751429177,0.7866519899723986,0.7583615134020574,0.0,0.7794701303757195,0.7569955492590321,0.7820155048166072,0.8250104627405935,0.8126289377479436,0.0,0.7839752255359369,0.7688641821099153,0.7749642320992217,0.0,0.7933226054349707,0.7435447135428206,0.796841168206734,0.7623706904995217,0.7343069626088828,0.7642634487339905,0.7609267347418506,0.0,0.7726189460836298,0.0,0.0,0.0,0.7995737453905827,0.781818845306459,0.0,0.0,0.0,0.7948160645031919,0.7362565635683835,0.7795235356240505,0.7535951668508312,0.0,0.7464405471677698,0.7513006786784776,0.7563743570868882,0.0,0.737762114300227,0.0,0.7776178760441739,0.0,0.7411559291922941,0.7298124731835042,0.8139017414767697,0.0,0.775076967523963,0.7269731904149737,0.730524499630952,0.7741786908752631,0.7508348379437153,0.7891782299771726,0.7968482675437906,0.7894395142783277
