Poster,Mo Abdallah,Riyad S. Aboutaha,Jeongmin Ahn,Ben Akih-Kumgeh,Jackie Anderson,Michael Blatchley,Michelle M. Blum,Ed Bogucz,Jesse Q. Bond,Mary Beth Browning Monroe,Katie Cadwell,Yue Cao,Elizabeth Carter,C.Y. Roger Chen,Ruth Chen,Biao Chen,Andria Costello Staniec,John F. Dannenhoffer III,Gabriel Silva De Oliveira,Alexander Deyhim,Bing Dong,Charles T. Driscoll,Victor Duenas,Sara Eftekharnejad,Ehat Ercanli,Matthew Erdman,Makan Fardad,Zhenyu Gan,Venkata S.S. Gandikota,Natarajan Gautam,Nadeem Ghani,Prasanta K. Ghosh,Jennifer W. Graham,M. Cenk Gursoy,Moamer (Mo) Hasanovic,James (Jay) Henderson,Endadul Hoque,Ian D. Hosein,Can Isik,Era Jain,Pankaj K. Jha,Chris E. Johnson,Alex K. Jones,Andrea Joseph,Garrett Ethan Katz,Bryan S. Kim,Rodrick Kuate Defo,Saman Priyantha Kumarawadu,Lihong Lao,Kasey Laurent,Andrew C. Lee,Tong Lin,Xiyuan Liu,Min Liu,Yizhi Liu,Eric M. Lui,Aoyi Luo,Zhen Ma,Sinéad C. Mac Namara,Duane L. Marcy,Shalabh C. Maroo,Karen Martinez Soto,Joao Paulo Marum,Jean-Daniel Medjo,Kristopher Micinski,Aaron Mohammed,Chilukuri K. Mohan,Young B. Moon,Shikha Nangia,Dawit Negussey,Susan Older,Anupam Pandey,Vir V. Phoha,Peter Plumley,Jason Pollack,Quinn Qiao,Zhao Qin,Qinru Qiu,Younes Ra’di,Farzana Rahman,Dacheng Ren,Utpal Roy,Baris Salman,Ashok S. Sangani,Amit K. Sanyal,Mehmet Sarimurat,Wanliang Shan,Ian M. Shapiro,Andrea Shen,Yilei Shi,Cindy Smith,J. Cole Smith,Pranav Soman,Sucheta Soundarajan,Yiyang Sun,Radhakrishna (Suresh) Sureshkumar,Yuzhe Tang,Svetoslava Todorova,John Trimmer,Pramod K. Varshney,Senem Velipasalar,Joseph J. Waclawski,Theodore Walker,Li Wang,Yeqing Wang,Yaoying Wu,Edmund S. Yu,Pun To (Douglas) Yung,Reza Zafarani,Teng Zeng,Jialiu Zeng,Jianshun “Jensen” Zhang,Teng Zhang,Junzhe Zhang,Yi Zheng,Fernando Zigunov
1,0.12338022649708089,0.2602765411863209,0.33468765544832996,0.31856185048746805,0.18452905616734858,0.38449219070619756,0.3974385790954019,1.3257348933538595,0.3062272093600387,0.20452950497776173,0.2751533519921184,1.3485654428399696,0.311082772007522,1.397891896696988,0.2941493983557666,0.31929917075974573,0.25445633850909616,0.35469769529519624,0.35487425503107867,0.38517328959240965,1.3338170633579494,0.247775743095208,0.3887305872534926,0.33088771649688387,0.352900666996239,1.367362846139783,1.3679829729213056,1.3432966662037207,1.356981500322249,0.3134307677354447,0.2490536063742437,0.23085629491386467,0.4157446337617803,1.3298813169735513,0.3946420692916003,1.4245510000708892,0.35883863949926126,1.336829321645664,0.0,0.3724970718365698,0.45178296655936784,0.2488361788396483,0.0,0.0,0.0,0.3158460425008084,0.0,0.0,0.0,0.2466861335232672,0.0,0.3095440023509651,0.5027011314790353,0.2621119519300766,0.42075604887605433,0.0,0.4174756027422085,0.39931555743010894,0.0,0.0,0.4227784035112355,0.3066085907681423,0.4124418680059786,0.0,0.24967526747233343,0.24246185682689947,0.41113497794273296,0.3504664492009198,0.39164797578597715,0.0,0.2606084886311665,0.4361142264708206,0.42867752102626616,0.0,0.2952876086140455,0.38096769385035606,0.3336630245893925,0.3796649521084745,0.36201810222336944,0.4262956517743807,0.31909298474290937,0.0,0.2551480005072123,0.0,0.0,0.0,0.4329281901072825,0.21424095763395162,0.0,0.0,0.0,0.19952780708292647,0.4104190511511768,0.2898864272589399,0.2701619545241714,0.0,0.3318103355307696,0.32584969455664686,0.27146232507126344,0.0,0.41049100592118226,0.0,0.32815934587261075,0.0,0.3314831056513903,0.35741516249744465,0.40424220002048167,0.0,0.3656643866041497,0.23095126695180168,0.3432322261157849,0.3482324149716314,0.45715472367257143,0.2700989360943941,0.3844968441711055,0.3632647746881758
2,0.15377377357443334,0.22632223572070406,0.31999616438933853,0.32296044437999566,0.20880525457082416,0.37002950029694515,0.2448677267888963,1.3591256832913576,0.281575537598252,0.1834970712535551,0.2435410889300848,1.3239233325211874,0.36149008780761804,1.3364532000995406,0.2592280481826854,0.4664216613988567,1.3659757863208257,0.3933654409615456,0.35477494139390864,0.40943859594899396,1.4349643628834996,0.27764053129499183,0.32067841509002265,0.3082791913264975,0.43412654458424277,1.3657509897357971,1.3956029288801628,1.3248965414838199,1.4742501212315042,0.4596224233204916,0.20618605586197739,0.23654051556544786,0.3834932728231617,1.3640167428127263,0.39718136406822124,1.373250451252713,0.4049843200025186,1.3781909070888685,0.0,0.35447512668526515,0.5426482137677906,0.25424371403709867,0.0,0.0,0.0,0.4145288321999627,0.0,0.0,0.0,0.27517239136678445,0.0,0.3395527329592813,0.45301519116823197,0.3154030649739935,0.40957715753048396,0.0,0.34229005776619664,0.39260654367482406,0.0,0.0,0.41439237023646575,0.33043716930508665,0.49144978143792034,0.0,0.4416027630826985,0.303761819694539,0.40622360196715296,0.44624131604092776,0.37037023841065664,0.0,0.3653259668037129,0.34551224851452705,0.45462493154148637,0.0,0.40945070601978983,0.3821417184134326,0.3189830929086333,0.3907103213696131,0.43447839825250606,0.4162865133288949,0.3095122131225545,0.0,0.3394908386639676,0.0,0.0,0.0,0.35348586338705906,0.25256617642552087,0.0,0.0,0.0,0.3586487762561559,0.42124015912094936,0.4148709852876043,0.2989836470282425,0.0,0.48821520582180167,0.4052397232632186,0.29249326070701953,0.0,0.440732704555661,0.0,0.3289987503355833,0.0,0.370471377365833,0.30663119150958024,0.4369299093741349,0.0,0.3717566003406817,0.2382924178773004,0.34700876019746824,0.385751154317147,0.35728333075550567,0.3230727149293718,0.36711283484502233,0.3799852390429459
3,0.15130136324197202,0.247956684964398,0.3052425046392982,1.320313269978937,0.23893621839304757,1.315097746425125,0.2082448397073134,0.3590135539556397,0.25585975530292987,0.15709325568479043,0.2838957512288598,0.28795800744090216,0.3924509072144587,0.33830932903034683,0.21419803188140404,0.33265234075329064,0.3325003386699533,1.367702516120696,0.4022322542114056,0.38841329863724655,0.49503411550457066,0.3817934820426727,0.28161223599102797,0.3954544910035169,0.40124674191070986,0.27072199736531377,0.40154070338835074,0.24154091361160124,0.42063462299356913,1.4303107602740188,0.2071254919439057,0.20382342980641815,0.2708137644536163,0.34010269431687645,0.3355069654953504,0.3464736971312654,1.482065112203541,0.2937792417448241,0.0,0.3372732756509669,0.4410264394232854,0.2808493704413832,0.0,0.0,0.0,0.35459037202863114,0.0,0.0,0.0,0.2635150357478663,0.0,0.3162406634644239,0.3420926568269684,0.4407241889096596,0.4127518546350027,0.0,0.27798210391898504,0.3337707145687693,0.0,0.0,0.39672980580346523,0.27490531856561135,0.3432383840206983,0.0,0.3608105730544696,0.17913177505220124,0.48244539667409386,0.4508027150976309,0.3359637450468365,0.0,0.33907178506438995,0.2681125279237982,0.43488234670303566,0.0,0.35255219759467527,0.37266040548678425,0.1908984893955012,0.3604846589955044,0.3128758683284944,0.4726753082229372,0.2714814580235379,0.0,0.38320620496444674,0.0,0.0,0.0,0.29622323555614155,0.3515890645954713,0.0,0.0,0.0,0.3274304511488287,0.34909491889561145,0.4607193697043341,0.2101258916000234,0.0,0.459836460990554,0.38322017650456974,0.39243229464622015,0.0,0.45076944397715996,0.0,0.29485223787586556,0.0,0.34336146572374004,0.2915200462970836,0.4851284807120196,0.0,0.3009056065984743,0.30071349911801587,0.3045446129500511,0.38760674448069904,0.33293554367845957,0.328897539317378,0.31570828671225715,0.2541138761788722
4,0.2815397563360605,0.28925482667373675,0.30385045867683586,0.2866717999606517,0.22426338314412375,0.30411470153800174,0.25213394503789716,1.4046862280913133,0.3122076290725821,0.16213691015690537,0.19227631190838326,0.20588472640214364,0.3286682901446839,1.3863600237466636,0.3123775081862489,0.4639891349327114,0.27674863047560816,0.3133967214106473,0.31425197559797574,0.3795568473604712,1.348384151969174,0.2732564045524938,0.2844546957494767,0.3758883722999048,0.3248002039654803,1.3234273157824232,1.413513788236281,0.27840670319164884,1.470585689106601,0.3968497971748695,0.24552871967418494,0.3427486321139796,0.3536009399801124,1.4630192835950515,0.4523593115935472,1.3197251045484686,0.4491948377188138,1.3525878067779418,0.0,0.3325946280717871,0.4618945954455633,0.20919414182965956,0.0,0.0,0.0,0.4222578710203167,0.0,0.0,0.0,0.30624827770320107,0.0,0.34665473461810137,0.32292747884792294,0.2821867229161649,0.31092145988343817,0.0,0.36589651825107733,0.3445109919791385,0.0,0.0,0.3240707466933762,0.34973005364338866,0.3664094383315585,0.0,0.3976569329328429,0.269863774105295,0.32932442042171617,0.28326337645847666,0.4710607323466359,0.0,0.41322525968734747,0.3645013334460578,0.3968808885787794,0.0,0.4330096727839972,0.27403486658141285,0.30149556621818396,0.27184719141082314,0.30269346591442947,0.4216260011647449,0.2958024003941525,0.0,0.3303306013936468,0.0,0.0,0.0,0.3545701608262676,0.24485468525416396,0.0,0.0,0.0,0.329596710420819,0.3311259837024681,0.3842177929658131,0.3872965270312406,0.0,0.401501728347518,0.339883380248427,0.23782638539920295,0.0,0.3697542869994317,0.0,0.36219665882224245,0.0,0.3576427389698459,0.37084849012778287,0.3871174590374238,0.0,0.29156729260219766,0.27000632217898457,0.3171905890624898,0.2813731829557678,0.3301606501501809,0.3592594504463015,0.32468701249857623,0.3793988943829589
5,0.22446984881603915,0.325406071077324,1.47185032051182,0.38503214706576094,0.20814903209656158,0.5902350483587027,0.46444653001263664,0.37848662590809173,0.39575212577215463,0.35612145336215506,0.33438445917711834,0.37533030722720434,1.3859577316570544,0.38555667194236115,1.479600031696704,1.3114397169750651,0.3587438635825595,0.38409525695774754,1.3846301358871653,0.4415328689011562,0.3615934073392442,0.3701375290038486,1.4380655658066348,1.394318415966121,0.4106268957982341,0.3724297389718827,0.36410579933802606,0.37914862188354925,0.40397425221951794,0.40078637131570904,0.28150913059491,0.32342419941603257,0.45203013029968486,0.3803786246293741,0.46155837245027703,0.5937057746686343,0.33499648556053924,0.47318272652241966,0.0,1.6088731991008332,0.5802243248383789,0.3980308071652976,0.0,0.0,0.0,0.41117019990658044,0.0,0.0,0.0,0.2701672222797798,0.0,0.3613823520064119,0.507707181206617,0.40511354942170347,0.45275719559481625,0.0,0.49072087852573737,0.5507574997027237,0.0,0.0,0.5368190931643034,0.32778341579020626,0.42166993034228084,0.0,0.3843647173445152,0.3086809235178186,0.43989314720277406,0.4620065049942818,0.5777506316024724,0.0,0.31586472819797917,0.507471337875143,0.4353608389798923,0.0,0.3655908125639181,0.46943586795624115,0.47265370181184174,0.4375148396167428,0.5161127627208407,0.4515143938584013,0.4525320263170202,0.0,0.37286103562717215,0.0,0.0,0.0,0.4977292422974645,0.2779960028212926,0.0,0.0,0.0,0.2950464161161556,0.5631658857594157,0.3082378056114721,0.3447398248119816,0.0,0.37982673297926195,0.4616146848351515,0.38290424821078284,0.0,0.4165843402670094,0.0,0.4719722887034538,0.0,0.453171443747894,0.5821471095028097,0.42920402649054834,0.0,0.3637301631599908,0.36540261908469646,0.6086897564954166,0.37428063958498853,0.5831079171834099,0.30572519919578545,0.49896505770176103,0.36919116218694514
6,0.25287858518200795,1.3350174674143767,0.44447156056619863,0.36867404301119033,0.2051111943294392,0.4623654202599767,1.4137176824751414,0.3373632855605372,1.4255993988961215,0.2703828778609187,0.344736381743681,0.32890455793000234,0.3435100711675806,0.36029798958531556,0.4051864881232261,0.2919855241167097,0.3393024647967235,0.2585083857374114,0.30112151551694927,1.4634230395405934,0.367204996404174,0.36001224777930413,0.3311272989192015,0.43276946708861175,1.3679011099754224,0.2393524873169335,0.2829460309645531,0.34292687932493854,0.287573715007455,0.34060572890562313,0.23825182500022965,0.2397302290635355,1.3813266357778893,0.2919072151485373,1.430707533068516,0.47689010212282923,0.3387372484129206,0.41577586071808004,0.0,0.4859661577282143,0.44410602336773486,0.3686431860868306,0.0,0.0,0.0,0.39572162578172065,0.0,0.0,0.0,0.280666784589379,0.0,0.3028278439008844,0.4093422126548489,0.38969926972298674,0.34887600876023717,0.0,0.37906172752469425,0.42252431640224997,0.0,0.0,0.4798061498819129,0.30196736217853243,0.33149220373792804,0.0,0.3186068061455048,0.2789962424444911,0.35394409248006553,0.41307837286864246,0.3892969765219667,0.0,0.29151476599538545,0.37572336448680976,0.3094087314454247,0.0,0.28019661293922393,0.4985511982209021,0.543281442334575,0.4192280302208317,0.4242503018656027,0.39297087858778296,0.44910306482688317,0.0,0.3238846799551781,0.0,0.0,0.0,0.40696019327678984,0.25557388586080915,0.0,0.0,0.0,0.26059436649750034,0.4842280194187923,0.32580184391333755,0.20820076421193714,0.0,0.37640939028064174,0.37168471102524564,0.36432356839152746,0.0,0.37378290592059843,0.0,0.41092986388596947,0.0,0.3974073703083223,0.3972684469897252,0.3128936059370316,0.0,0.23914666589308398,0.3119943172413276,0.3537010691949167,0.3279221435779809,0.48882478691154924,0.29217826480751186,0.41597846060974764,0.3024796209100463
7,0.3885738940786157,0.29046158365195296,0.2909804491606855,0.271983776953349,0.2651439048509474,1.3832527186141852,0.3201388653179763,0.35285682083170206,0.3236662071954851,0.2912933365074166,0.25898296204997145,0.232452834247882,0.3054917857249546,0.3135217299291638,0.3122911940861286,0.3764101847504822,0.36524455259035904,0.24112297014239592,0.2352411368789861,0.3522870364513559,0.28947884418600034,0.3043597029408459,0.22363207071794697,0.4123305107218467,0.2872120663989183,0.33469293890433777,0.2731790147425751,0.28169465812518807,0.3471329712529309,0.22976044914096153,0.3780781920433931,0.34294214439073106,0.3081157458944094,0.355732528857984,0.38753856383463636,0.3244685139616901,0.27133011661774414,0.49306002365855783,0.0,0.3652433347864007,0.40975710505765506,0.32708478129495316,0.0,0.0,0.0,0.38815031313761994,0.0,0.0,0.0,0.21530990282241388,0.0,0.3075189051778385,0.3257952548107193,0.19771415662262012,0.28264585878250914,0.0,0.38946864958711996,0.3097251187649018,0.0,0.0,0.37382133183705496,0.2841721124294705,0.34232338671977314,0.0,0.33970218637869404,0.29992726528596286,0.23626091614774852,0.2459632855696981,0.3702634713958348,0.0,0.2638879673948957,0.3050292753293172,0.32409106393485176,0.0,0.35525738763833903,0.41024721816270215,0.3732253991789132,0.32844089676119953,0.3533296497042396,0.27787854676833107,0.34838436936609196,0.0,0.2619883348680812,0.0,0.0,0.0,0.4087238715811008,0.2008907903064892,0.0,0.0,0.0,0.21056884847454344,0.3364043746697523,0.2611054759796566,0.30568245850226233,0.0,0.3298859844647127,0.42571126156818384,0.21976406275122645,0.0,0.3128808465598808,0.0,0.42245286129955756,0.0,0.3601873062906241,0.3796702047006432,0.2745030432754988,0.0,0.2829781013153177,0.47205601061284075,0.3944177572510851,0.3580313343674069,0.2881886141636311,0.233003795192929,0.31886533181902366,0.3819228345421556
8,0.192954064226995,0.2935967752484741,1.4299189245481352,0.35635218575670835,0.17298245792933872,0.36988842871717553,0.3257775515922963,0.33095340741958457,0.3172669115039801,0.22152584146921048,0.3563493590756163,0.35978831041501014,1.3569697283888629,0.3948663131108792,1.321450312902745,0.28462840198201955,0.35757493861293704,0.3492736784839918,1.367693783997509,0.502954207357589,0.3218768088680703,0.3558635176018152,0.257812806345745,1.4183735524799257,0.4987119419973527,0.368159586451367,0.2939287783380907,0.27380255974243645,0.3985645522170083,0.38402789335159887,0.2413047141878691,0.15565871465193995,0.41218217867280993,0.3059586321937535,0.4618168202808393,0.45782834385929155,0.30529613802343347,0.4843388791897431,0.0,1.4494840513910165,0.4426052229339075,0.38213969510767504,0.0,0.0,0.0,0.40376304581155703,0.0,0.0,0.0,0.24717455881860803,0.0,0.3435618227610658,0.4208462503409445,0.40625133161988414,0.4207798292296256,0.0,0.44806701930336457,0.4145519672046551,0.0,0.0,0.4683813246154228,0.3002202475679182,0.2910339667368608,0.0,0.40403004637607576,0.273579678341731,0.34058277065738435,0.455943183557948,0.4335951988979877,0.0,0.3621624104461396,0.28239059402183975,0.3466649679563477,0.0,0.2509300180087457,0.40312083132159354,0.3998364560278025,0.3814107617399148,0.4311635466766456,0.33017050692206723,0.3835345921608589,0.0,0.37324391097200804,0.0,0.0,0.0,0.3920555139779582,0.19227583864594278,0.0,0.0,0.0,0.35063254901942353,0.4823552794826693,0.30739011796544113,0.255402921994783,0.0,0.3383426047681297,0.3984266088493029,0.29951209760797143,0.0,0.3428877653141867,0.0,0.4060151526335082,0.0,0.41628493727167915,0.3830663853674388,0.30123542468503695,0.0,0.3008723941899224,0.38826332188574847,0.39818480287072355,0.34381922081304267,0.3969537105333895,0.29442788569131295,0.3828778513148323,0.3217714445705731
9,0.2680885328486114,0.20067002673153858,0.20412015592266608,0.28225143489728594,0.9999999999999992,0.22149126714785367,0.2367466431704519,0.24352106647150493,0.26409670039510713,0.24058966699664142,0.25465462917899473,0.2353105339791844,0.2646646104508496,0.22745477643337786,0.18505038263915027,0.26183010663636025,0.26847571424825933,0.2636360177911674,0.26442147970630453,0.26234727175902856,0.27750764561843233,0.252982868305665,0.24139127422140325,0.20781521426156524,0.2526421295219009,0.2182067798729094,0.25753962652603346,0.23806591270086855,0.24059492248184983,0.2238229706946621,0.1693154815864727,0.20698712049408882,0.19241682337854718,0.259172468392448,0.2682116047325504,0.2857052200676298,0.27396556269404315,0.2735206860109117,0.0,0.25046724638132123,0.29098221556812115,0.2647072309406043,0.0,0.0,0.0,0.26578221919493544,0.0,0.0,0.0,0.26436618903522796,0.0,0.24062917772364506,0.22525562348804762,0.2581772874746315,0.2353149472115575,0.0,0.2734925292311532,0.2527818171831857,0.0,0.0,0.23623532262580826,0.2408736387601348,0.24420685868851433,0.0,0.305282316160683,0.20443346166275142,0.28999929590382695,0.3102730541056954,0.21234415937405032,0.0,0.25497332588767946,0.22157414137108297,0.30583234912771395,0.0,0.24649116523883352,0.2089181737111831,0.1986463768260542,0.24840597064395686,0.2221403088920106,0.29698551318802785,0.16982254258269575,0.0,0.22799578455625316,0.0,0.0,0.0,0.2594492651177566,0.25466235545742133,0.0,0.0,0.0,0.28066399666544817,0.2243666998890644,0.3608913015897494,0.26141965329156486,0.0,0.28042745692998927,0.24657267699633298,0.28092949714064747,0.0,0.2754329432808586,0.0,0.2752322522059671,0.0,0.24233495168410213,0.22901829828649012,0.29350580412089083,0.0,0.3458439604372037,0.27515829753700827,0.2479100781799973,0.23454355190691548,0.22578925702173636,0.2576175462846469,0.23629942482050673,0.31350211787215854
10,0.2680885328486114,0.20067002673153858,0.20412015592266608,0.28225143489728594,0.9999999999999992,0.22149126714785367,0.2367466431704519,0.24352106647150493,0.26409670039510713,0.24058966699664142,0.25465462917899473,0.2353105339791844,0.2646646104508496,0.22745477643337786,0.18505038263915027,0.26183010663636025,0.26847571424825933,0.2636360177911674,0.26442147970630453,0.26234727175902856,0.27750764561843233,0.252982868305665,0.24139127422140325,0.20781521426156524,0.2526421295219009,0.2182067798729094,0.25753962652603346,0.23806591270086855,0.24059492248184983,0.2238229706946621,0.1693154815864727,0.20698712049408882,0.19241682337854718,0.259172468392448,0.2682116047325504,0.2857052200676298,0.27396556269404315,0.2735206860109117,0.0,0.25046724638132123,0.29098221556812115,0.2647072309406043,0.0,0.0,0.0,0.26578221919493544,0.0,0.0,0.0,0.26436618903522796,0.0,0.24062917772364506,0.22525562348804762,0.2581772874746315,0.2353149472115575,0.0,0.2734925292311532,0.2527818171831857,0.0,0.0,0.23623532262580826,0.2408736387601348,0.24420685868851433,0.0,0.305282316160683,0.20443346166275142,0.28999929590382695,0.3102730541056954,0.21234415937405032,0.0,0.25497332588767946,0.22157414137108297,0.30583234912771395,0.0,0.24649116523883352,0.2089181737111831,0.1986463768260542,0.24840597064395686,0.2221403088920106,0.29698551318802785,0.16982254258269575,0.0,0.22799578455625316,0.0,0.0,0.0,0.2594492651177566,0.25466235545742133,0.0,0.0,0.0,0.28066399666544817,0.2243666998890644,0.3608913015897494,0.26141965329156486,0.0,0.28042745692998927,0.24657267699633298,0.28092949714064747,0.0,0.2754329432808586,0.0,0.2752322522059671,0.0,0.24233495168410213,0.22901829828649012,0.29350580412089083,0.0,0.3458439604372037,0.27515829753700827,0.2479100781799973,0.23454355190691548,0.22578925702173636,0.2576175462846469,0.23629942482050673,0.31350211787215854
